TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,85.0,70.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,100.0
-120,55.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,5.0,95.0
-100,55.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,45.0
-90,65.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,55.0
-80,85.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,90.0
-75,,,,,,,,,,,,,,,
-70,75.0,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5.0,85.0
-60,70.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,65.0
-50,55.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,80.0
-45,65.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,75.0,95.0
-40,65.0,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,90.0
-35,30.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0
-30,50.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,45.0
-25,55.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,70.0
-20,50.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0
-16,,,,,,,,,,,,,,,
-15,60.0,45.0,65.0,0.0,0.0,0.0,25.0,5.0,45.0,10.0,5.0,15.0,85.0,0.0,90.0
-14,55.0,50.0,65.0,0.0,0.0,0.0,40.0,35.0,55.0,7.5,0.0,10.0,90.0,0.0,95.0
-13,65.0,60.0,70.0,0.0,0.0,0.0,30.0,30.0,50.0,2.5,0.0,30.0,80.0,0.0,90.0
-12,55.0,40.0,55.0,0.0,0.0,0.0,55.0,10.0,75.0,10.0,0.0,25.0,75.0,5.0,80.0
-11,55.0,50.0,65.0,0.0,0.0,0.0,40.0,35.0,65.0,15.0,10.0,30.0,95.0,10.0,95.0
-10,60.0,55.0,65.0,0.0,0.0,0.0,55.0,30.0,65.0,22.5,20.0,30.0,95.0,5.0,95.0
-9,65.0,55.0,70.0,0.0,0.0,5.0,45.0,35.0,55.0,30.0,25.0,35.0,90.0,5.0,90.0
-8,60.0,50.0,75.0,15.0,5.0,40.0,60.0,40.0,80.0,30.0,15.0,35.0,100.0,30.0,100.0
-7,65.0,55.0,85.0,25.0,15.0,30.0,80.0,40.0,80.0,37.5,25.0,60.0,95.0,40.0,100.0
-6,70.0,70.0,80.0,35.0,30.0,55.0,60.0,40.0,75.0,50.0,40.0,60.0,100.0,80.0,100.0
-5,75.0,60.0,90.0,60.0,45.0,65.0,75.0,60.0,75.0,60.0,55.0,65.0,100.0,95.0,100.0
-4,80.0,65.0,95.0,60.0,25.0,65.0,95.0,50.0,95.0,75.0,60.0,90.0,100.0,100.0,100.0
-3,95.0,80.0,95.0,75.0,20.0,90.0,90.0,85.0,90.0,90.0,85.0,95.0,100.0,100.0,100.0
-2,100.0,95.0,100.0,90.0,60.0,95.0,90.0,90.0,95.0,100.0,90.0,100.0,100.0,100.0,100.0
-1,100.0,100.0,100.0,95.0,70.0,100.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
