TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,0.0,95.0
-120,100.0,0.0,0.0,2.5,100.0
-100,100.0,0.0,0.0,0.0,60.0
-90,100.0,0.0,0.0,0.0,80.0
-80,100.0,0.0,0.0,0.0,90.0
-70,100.0,0.0,0.0,0.0,85.0
-60,100.0,0.0,0.0,0.0,75.0
-50,100.0,0.0,0.0,0.0,90.0
-40,100.0,0.0,0.0,0.0,100.0
-30,95.0,0.0,0.0,5.0,60.0
-20,100.0,0.0,0.0,7.5,90.0
-10,100.0,0.0,70.0,65.0,90.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,0.0,62.5,50.0,100.0
20,100.0,0.0,0.0,12.5,90.0
30,100.0,0.0,0.0,0.0,60.0
40,100.0,0.0,0.0,0.0,80.0
50,100.0,0.0,0.0,0.0,100.0
60,100.0,0.0,0.0,0.0,80.0
70,100.0,0.0,0.0,2.5,80.0
80,100.0,0.0,0.0,0.0,95.0
90,100.0,0.0,0.0,0.0,100.0
100,100.0,0.0,0.0,0.0,75.0
120,100.0,0.0,0.0,0.0,100.0
140,100.0,0.0,0.0,0.0,100.0
