TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,17.5,15.0,85.0,100.0
-120,100.0,17.5,20.0,80.0,100.0
-100,100.0,20.0,10.0,80.0,100.0
-90,100.0,35.0,15.0,85.0,95.0
-80,100.0,35.0,25.0,100.0,100.0
-70,100.0,27.5,30.0,95.0,100.0
-60,100.0,40.0,15.0,85.0,90.0
-50,100.0,27.5,35.0,100.0,100.0
-40,100.0,52.5,52.5,100.0,100.0
-30,100.0,37.5,60.0,95.0,100.0
-20,100.0,50.0,82.5,80.0,95.0
-10,100.0,95.0,100.0,95.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,85.0,85.0,95.0,100.0
20,100.0,47.5,75.0,90.0,100.0
30,100.0,15.0,65.0,100.0,100.0
40,100.0,27.5,35.0,100.0,100.0
50,100.0,25.0,32.5,95.0,100.0
60,100.0,25.0,10.0,90.0,100.0
70,100.0,15.0,20.0,85.0,95.0
80,100.0,20.0,25.0,95.0,100.0
90,100.0,27.5,12.5,100.0,100.0
100,100.0,27.5,7.5,80.0,100.0
120,100.0,40.0,20.0,95.0,100.0
140,100.0,40.0,20.0,75.0,100.0
