TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,0.0,100.0
-120,100.0,0.0,0.0,0.0,97.5
-100,90.0,0.0,0.0,0.0,62.5
-90,100.0,0.0,0.0,0.0,95.0
-80,95.0,0.0,0.0,0.0,77.5
-70,100.0,0.0,0.0,0.0,80.0
-60,95.0,0.0,0.0,0.0,72.5
-50,100.0,0.0,0.0,0.0,65.0
-40,100.0,0.0,0.0,0.0,42.5
-30,90.0,0.0,0.0,0.0,47.5
-20,80.0,0.0,0.0,5.0,87.5
-10,95.0,0.0,30.0,40.0,100.0
0,100.0,92.5,100.0,100.0,100.0
10,85.0,0.0,20.0,25.0,92.5
20,95.0,0.0,0.0,0.0,70.0
30,50.0,0.0,0.0,0.0,27.5
40,95.0,0.0,0.0,0.0,97.5
50,100.0,0.0,0.0,0.0,80.0
60,95.0,0.0,0.0,0.0,52.5
70,100.0,0.0,0.0,0.0,82.5
80,100.0,0.0,0.0,0.0,70.0
90,100.0,0.0,0.0,0.0,55.0
100,95.0,0.0,0.0,0.0,52.5
120,100.0,0.0,0.0,0.0,97.5
140,95.0,0.0,0.0,0.0,87.5
