TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,,95.0,95.0,95.0,100.0
-120,,95.0,97.5,95.0,100.0
-100,,100.0,95.0,100.0,100.0
-90,,100.0,95.0,100.0,100.0
-80,,100.0,100.0,100.0,100.0
-70,,100.0,95.0,100.0,100.0
-60,,100.0,95.0,100.0,100.0
-50,,100.0,100.0,100.0,100.0
-40,,100.0,97.5,100.0,100.0
-30,,95.0,100.0,100.0,100.0
-20,,87.5,100.0,100.0,100.0
-10,,100.0,100.0,100.0,100.0
0,,100.0,100.0,100.0,100.0
10,,100.0,100.0,100.0,100.0
20,,97.5,100.0,100.0,100.0
30,,92.5,100.0,100.0,100.0
40,,95.0,97.5,100.0,100.0
50,,100.0,100.0,100.0,100.0
60,,95.0,92.5,100.0,100.0
70,,92.5,95.0,100.0,100.0
80,,70.0,95.0,100.0,100.0
90,,95.0,92.5,100.0,100.0
100,,97.5,90.0,100.0,100.0
120,,100.0,95.0,100.0,100.0
140,,100.0,90.0,95.0,100.0
