Measurement Number, Transmitter, TX Power, Mode, RSSI
198, 1, 3, 0, -73
199, 1, 3, 0, -73
200, 0, 4, 0, -70
201, 0, 4, 0, -70
202, 0, 4, 0, -70
203, 0, 4, 0, -70
204, 0, 4, 0, -70
205, 0, 4, 0, -70
206, 0, 4, 0, -70
207, 0, 4, 0, -70
208, 0, 4, 0, -70
209, 0, 4, 0, -70
210, 0, 4, 0, -70
211, 0, 4, 0, -69
212, 0, 4, 0, -70
213, 0, 4, 0, -70
214, 0, 4, 0, -70
215, 0, 4, 0, -70
216, 0, 4, 0, -70
217, 0, 4, 0, -70
218, 0, 4, 0, -70
219, 0, 4, 0, -70
220, 1, 4, 0, -73
221, 1, 4, 0, -73
222, 1, 4, 0, -73
223, 1, 4, 0, -73
224, 1, 4, 0, -73
225, 1, 4, 0, -73
226, 1, 4, 0, -73
227, 1, 4, 0, -73
228, 1, 4, 0, -73
229, 1, 4, 0, -73
230, 1, 4, 0, -73
231, 1, 4, 0, -73
232, 1, 4, 0, -73
233, 1, 4, 0, -73
234, 1, 4, 0, -73
235, 1, 4, 0, -73
236, 1, 4, 0, -73
237, 1, 4, 0, -73
238, 1, 4, 0, -73
239, 1, 4, 0, -73
240, 0, 5, 0, -69
241, 0, 5, 0, -69
242, 0, 5, 0, -69
243, 0, 5, 0, -69
244, 0, 5, 0, -69
245, 0, 5, 0, -69
246, 0, 5, 0, -69
247, 0, 5, 0, -69
248, 0, 5, 0, -69
249, 0, 5, 0, -69
250, 0, 5, 0, -69
251, 0, 5, 0, -69
252, 0, 5, 0, -69
253, 0, 5, 0, -69
254, 0, 5, 0, -69
255, 0, 5, 0, -69
256, 0, 5, 0, -69
257, 0, 5, 0, -69
258, 0, 5, 0, -69
259, 0, 5, 0, -69
260, 1, 5, 0, -72
261, 1, 5, 0, -72
262, 1, 5, 0, -72
263, 1, 5, 0, -72
264, 1, 5, 0, -72
265, 1, 5, 0, -72
266, 1, 5, 0, -72
267, 1, 5, 0, -72
268, 1, 5, 0, -72
269, 1, 5, 0, -72
270, 1, 5, 0, -72
271, 1, 5, 0, -72
272, 1, 5, 0, -72
273, 1, 5, 0, -72
274, 1, 5, 0, -73
275, 1, 5, 0, -72
276, 1, 5, 0, -72
277, 1, 5, 0, -72
278, 1, 5, 0, -72
279, 1, 5, 0, -72
280, 0, 6, 0, -68
281, 0, 6, 0, -68
282, 0, 6, 0, -68
283, 0, 6, 0, -68
284, 0, 6, 0, -68
285, 0, 6, 0, -68
286, 0, 6, 0, -68
287, 0, 6, 0, -68
288, 0, 6, 0, -68
289, 0, 6, 0, -68
290, 0, 6, 0, -68
291, 0, 6, 0, -68
292, 0, 6, 0, -68
293, 0, 6, 0, -68
294, 0, 6, 0, -68
295, 0, 6, 0, -68
296, 0, 6, 0, -68
297, 0, 6, 0, -68
298, 0, 6, 0, -68
299, 0, 6, 0, -68
300, 1, 6, 0, -71
301, 1, 6, 0, -71
302, 1, 6, 0, -71
303, 1, 6, 0, -71
304, 1, 6, 0, -71
305, 1, 6, 0, -71
306, 1, 6, 0, -71
307, 1, 6, 0, -71
308, 1, 6, 0, -71
309, 1, 6, 0, -71
310, 1, 6, 0, -71
311, 1, 6, 0, -71
312, 1, 6, 0, -71
313, 1, 6, 0, -71
314, 1, 6, 0, -71
315, 1, 6, 0, -71
316, 1, 6, 0, -71
317, 1, 6, 0, -71
318, 1, 6, 0, -71
319, 1, 6, 0, -71
320, 0, 7, 0, -68
321, 0, 7, 0, -68
322, 0, 7, 0, -68
323, 0, 7, 0, -68
324, 0, 7, 0, -68
325, 0, 7, 0, -68
326, 0, 7, 0, -68
327, 0, 7, 0, -68
328, 0, 7, 0, -68
329, 0, 7, 0, -68
330, 0, 7, 0, -68
331, 0, 7, 0, -68
332, 0, 7, 0, -68
333, 0, 7, 0, -68
334, 0, 7, 0, -68
335, 0, 7, 0, -68
336, 0, 7, 0, -68
337, 0, 7, 0, -68
338, 0, 7, 0, -68
339, 0, 7, 0, -68
340, 1, 7, 0, -71
341, 1, 7, 0, -71
342, 1, 7, 0, -71
343, 1, 7, 0, -71
344, 1, 7, 0, -71
345, 1, 7, 0, -71
346, 1, 7, 0, -71
347, 1, 7, 0, -71
348, 1, 7, 0, -71
349, 1, 7, 0, -71
350, 1, 7, 0, -71
351, 1, 7, 0, -71
352, 1, 7, 0, -71
353, 1, 7, 0, -71
354, 1, 7, 0, -71
355, 1, 7, 0, -71
356, 1, 7, 0, -71
357, 1, 7, 0, -71
358, 1, 7, 0, -71
359, 1, 7, 0, -71
360, 0, 8, 0, -67
361, 0, 8, 0, -67
362, 0, 8, 0, -67
363, 0, 8, 0, -67
364, 0, 8, 0, -67
365, 0, 8, 0, -67
366, 0, 8, 0, -67
367, 0, 8, 0, -67
368, 0, 8, 0, -67
369, 0, 8, 0, -68
370, 0, 8, 0, -68
371, 0, 8, 0, -67
372, 0, 8, 0, -67
373, 0, 8, 0, -68
374, 0, 8, 0, -67
375, 0, 8, 0, -67
376, 0, 8, 0, -67
377, 0, 8, 0, -67
378, 0, 8, 0, -67
379, 0, 8, 0, -67
380, 1, 8, 0, -70
381, 1, 8, 0, -70
382, 1, 8, 0, -70
383, 1, 8, 0, -70
384, 1, 8, 0, -70
385, 1, 8, 0, -70
386, 1, 8, 0, -70
387, 1, 8, 0, -70
388, 1, 8, 0, -70
389, 1, 8, 0, -70
390, 1, 8, 0, -70
391, 1, 8, 0, -70
392, 1, 8, 0, -70
393, 1, 8, 0, -70
394, 1, 8, 0, -70
395, 1, 8, 0, -70
396, 1, 8, 0, -70
397, 1, 8, 0, -70
398, 1, 8, 0, -70
399, 1, 8, 0, -70
400, 0, -8, 1, -70
401, 0, -8, 1, -71
402, 0, -8, 1, -71
403, 0, -8, 1, -71
404, 0, -8, 1, -71
405, 0, -8, 1, -71
406, 0, -8, 1, -71
407, 0, -8, 1, -71
408, 0, -8, 1, -70
409, 0, -8, 1, -71
410, 0, -8, 1, -71
411, 0, -8, 1, -71
412, 0, -8, 1, -71
413, 0, -8, 1, -71
414, 0, -8, 1, -71
415, 0, -8, 1, -71
416, 0, -8, 1, -71
417, 0, -8, 1, -71
418, 0, -8, 1, -71
419, 0, -8, 1, -70
420, 1, -8, 1, -76
421, 1, -8, 1, -77
422, 1, -8, 1, -76
423, 1, -8, 1, -76
424, 1, -8, 1, -77
425, 1, -8, 1, -77
426, 1, -8, 1, -77
427, 1, -8, 1, -77
428, 1, -8, 1, -76
429, 1, -8, 1, -77
430, 1, -8, 1, -76
431, 1, -8, 1, -77
432, 1, -8, 1, -77
433, 1, -8, 1, -76
434, 1, -8, 1, -77
435, 1, -8, 1, -77
436, 1, -8, 1, -77
437, 1, -8, 1, -76
438, 1, -8, 1, -77
439, 1, -8, 1, -77
440, 0, -4, 1, -68
441, 0, -4, 1, -68
442, 0, -4, 1, -68
443, 0, -4, 1, -68
444, 0, -4, 1, -67
445, 0, -4, 1, -67
446, 0, -4, 1, -68
447, 0, -4, 1, -68
448, 0, -4, 1, -68
449, 0, -4, 1, -68
450, 0, -4, 1, -68
451, 0, -4, 1, -68
452, 0, -4, 1, -68
453, 0, -4, 1, -69
454, 0, -4, 1, -68
455, 0, -4, 1, -68
456, 0, -4, 1, -68
457, 0, -4, 1, -68
458, 0, -4, 1, -68
459, 0, -4, 1, -68
460, 1, -4, 1, -73
461, 1, -4, 1, -73
462, 1, -4, 1, -73
463, 1, -4, 1, -73
464, 1, -4, 1, -73
465, 1, -4, 1, -73
466, 1, -4, 1, -73
467, 1, -4, 1, -73
468, 1, -4, 1, -73
469, 1, -4, 1, -74
470, 1, -4, 1, -73
471, 1, -4, 1, -73
472, 1, -4, 1, -73
473, 1, -4, 1, -73
474, 1, -4, 1, -73
475, 1, -4, 1, -73
476, 1, -4, 1, -73
477, 1, -4, 1, -73
478, 1, -4, 1, -73
479, 1, -4, 1, -74
480, 0, 0, 1, -64
481, 0, 0, 1, -62
482, 0, 0, 1, -64
483, 0, 0, 1, -64
484, 0, 0, 1, -64
485, 0, 0, 1, -62
486, 0, 0, 1, -67
487, 0, 0, 1, -64
488, 0, 0, 1, -64
489, 0, 0, 1, -64
490, 0, 0, 1, -67
491, 0, 0, 1, -67
492, 0, 0, 1, -64
493, 0, 0, 1, -64
494, 0, 0, 1, -63
495, 0, 0, 1, -63
496, 0, 0, 1, -67
497, 0, 0, 1, -64
498, 0, 0, 1, -64
499, 0, 0, 1, -64
500, 1, 0, 1, -70
501, 1, 0, 1, -70
502, 1, 0, 1, -70
503, 1, 0, 1, -70
504, 1, 0, 1, -70
505, 1, 0, 1, -70
506, 1, 0, 1, -70
507, 1, 0, 1, -70
508, 1, 0, 1, -70
509, 1, 0, 1, -70
510, 1, 0, 1, -70
511, 1, 0, 1, -70
512, 1, 0, 1, -70
513, 1, 0, 1, -70
514, 1, 0, 1, -70
515, 1, 0, 1, -70
516, 1, 0, 1, -70
517, 1, 0, 1, -70
518, 1, 0, 1, -70
519, 1, 0, 1, -70
520, 0, 2, 1, -61
521, 0, 2, 1, -61
522, 0, 2, 1, -61
523, 0, 2, 1, -61
524, 0, 2, 1, -61
525, 0, 2, 1, -61
526, 0, 2, 1, -61
527, 0, 2, 1, -61
528, 0, 2, 1, -61
529, 0, 2, 1, -61
530, 0, 2, 1, -61
531, 0, 2, 1, -61
532, 0, 2, 1, -61
533, 0, 2, 1, -61
534, 0, 2, 1, -61
535, 0, 2, 1, -61
536, 0, 2, 1, -61
537, 0, 2, 1, -61
538, 0, 2, 1, -61
539, 0, 2, 1, -61
540, 1, 2, 1, -69
541, 1, 2, 1, -66
542, 1, 2, 1, -66
543, 1, 2, 1, -66
544, 1, 2, 1, -66
545, 1, 2, 1, -66
546, 1, 2, 1, -66
547, 1, 2, 1, -66
548, 1, 2, 1, -66
549, 1, 2, 1, -66
550, 1, 2, 1, -66
551, 1, 2, 1, -69
552, 1, 2, 1, -66
553, 1, 2, 1, -65
554, 1, 2, 1, -66
555, 1, 2, 1, -66
556, 1, 2, 1, -66
557, 1, 2, 1, -66
558, 1, 2, 1, -69
559, 1, 2, 1, -68
560, 0, 3, 1, -60
561, 0, 3, 1, -60
562, 0, 3, 1, -60
563, 0, 3, 1, -60
564, 0, 3, 1, -60
565, 0, 3, 1, -60
566, 0, 3, 1, -60
567, 0, 3, 1, -60
568, 0, 3, 1, -60
569, 0, 3, 1, -60
570, 0, 3, 1, -60
571, 0, 3, 1, -60
572, 0, 3, 1, -60
573, 0, 3, 1, -60
574, 0, 3, 1, -62
575, 0, 3, 1, -60
576, 0, 3, 1, -60
577, 0, 3, 1, -60
578, 0, 3, 1, -60
579, 0, 3, 1, -60
580, 1, 3, 1, -65
581, 1, 3, 1, -65
582, 1, 3, 1, -65
583, 1, 3, 1, -65
584, 1, 3, 1, -65
585, 1, 3, 1, -65
586, 1, 3, 1, -65
587, 1, 3, 1, -65
588, 1, 3, 1, -65
589, 1, 3, 1, -65
590, 1, 3, 1, -65
591, 1, 3, 1, -65
592, 1, 3, 1, -65
593, 1, 3, 1, -65
594, 1, 3, 1, -65
595, 1, 3, 1, -65
596, 1, 3, 1, -65
597, 1, 3, 1, -65
598, 1, 3, 1, -65
599, 1, 3, 1, -65
600, 0, 4, 1, -58
601, 0, 4, 1, -58
602, 0, 4, 1, -58
603, 0, 4, 1, -59
604, 0, 4, 1, -58
605, 0, 4, 1, -59
606, 0, 4, 1, -59
607, 0, 4, 1, -61
608, 0, 4, 1, -59
609, 0, 4, 1, -59
610, 0, 4, 1, -58
611, 0, 4, 1, -61
612, 0, 4, 1, -58
613, 0, 4, 1, -61
614, 0, 4, 1, -59
615, 0, 4, 1, -61
616, 0, 4, 1, -59
617, 0, 4, 1, -59
618, 0, 4, 1, -61
619, 0, 4, 1, -61
620, 1, 4, 1, -64
621, 1, 4, 1, -64
622, 1, 4, 1, -67
623, 1, 4, 1, -64
624, 1, 4, 1, -64
625, 1, 4, 1, -64
626, 1, 4, 1, -64
627, 1, 4, 1, -64
628, 1, 4, 1, -64
629, 1, 4, 1, -64
630, 1, 4, 1, -64
631, 1, 4, 1, -64
632, 1, 4, 1, -64
633, 1, 4, 1, -64
634, 1, 4, 1, -64
635, 1, 4, 1, -64
636, 1, 4, 1, -64
637, 1, 4, 1, -64
638, 1, 4, 1, -64
639, 1, 4, 1, -64
640, 0, 5, 1, -58
641, 0, 5, 1, -58
642, 0, 5, 1, -58
643, 0, 5, 1, -58
644, 0, 5, 1, -58
645, 0, 5, 1, -58
646, 0, 5, 1, -58
647, 0, 5, 1, -58
648, 0, 5, 1, -58
649, 0, 5, 1, -58
650, 0, 5, 1, -58
651, 0, 5, 1, -58
652, 0, 5, 1, -58
653, 0, 5, 1, -58
654, 0, 5, 1, -58
655, 0, 5, 1, -58
656, 0, 5, 1, -58
657, 0, 5, 1, -58
658, 0, 5, 1, -58
659, 0, 5, 1, -58
660, 1, 5, 1, -64
661, 1, 5, 1, -64
662, 1, 5, 1, -63
663, 1, 5, 1, -64
664, 1, 5, 1, -64
665, 1, 5, 1, -64
666, 1, 5, 1, -63
667, 1, 5, 1, -64
668, 1, 5, 1, -63
669, 1, 5, 1, -64
670, 1, 5, 1, -63
671, 1, 5, 1, -67
672, 1, 5, 1, -64
673, 1, 5, 1, -63
674, 1, 5, 1, -65
675, 1, 5, 1, -64
676, 1, 5, 1, -63
677, 1, 5, 1, -64
678, 1, 5, 1, -63
679, 1, 5, 1, -67
680, 0, 6, 1, -57
681, 0, 6, 1, -57
682, 0, 6, 1, -57
683, 0, 6, 1, -57
684, 0, 6, 1, -57
685, 0, 6, 1, -57
686, 0, 6, 1, -57
687, 0, 6, 1, -57
688, 0, 6, 1, -57
689, 0, 6, 1, -57
690, 0, 6, 1, -57
691, 0, 6, 1, -57
692, 0, 6, 1, -57
693, 0, 6, 1, -57
694, 0, 6, 1, -57
695, 0, 6, 1, -57
696, 0, 6, 1, -57
697, 0, 6, 1, -57
698, 0, 6, 1, -57
699, 0, 6, 1, -57
700, 1, 6, 1, -63
701, 1, 6, 1, -63
702, 1, 6, 1, -63
703, 1, 6, 1, -63
704, 1, 6, 1, -62
705, 1, 6, 1, -63
706, 1, 6, 1, -62
707, 1, 6, 1, -63
708, 1, 6, 1, -63
709, 1, 6, 1, -63
710, 1, 6, 1, -63
711, 1, 6, 1, -63
712, 1, 6, 1, -63
713, 1, 6, 1, -63
714, 1, 6, 1, -63
715, 1, 6, 1, -63
716, 1, 6, 1, -63
717, 1, 6, 1, -63
718, 1, 6, 1, -63
719, 1, 6, 1, -63
720, 0, 7, 1, -56
721, 0, 7, 1, -57
722, 0, 7, 1, -56
723, 0, 7, 1, -57
724, 0, 7, 1, -56
725, 0, 7, 1, -56
726, 0, 7, 1, -56
727, 0, 7, 1, -56
728, 0, 7, 1, -56
729, 0, 7, 1, -58
730, 0, 7, 1, -57
731, 0, 7, 1, -57
732, 0, 7, 1, -56
733, 0, 7, 1, -57
734, 0, 7, 1, -57
735, 0, 7, 1, -57
736, 0, 7, 1, -56
737, 0, 7, 1, -57
738, 0, 7, 1, -56
739, 0, 7, 1, -57
740, 1, 7, 1, -62
741, 1, 7, 1, -62
742, 1, 7, 1, -62
743, 1, 7, 1, -61
744, 1, 7, 1, -62
745, 1, 7, 1, -62
746, 1, 7, 1, -62
747, 1, 7, 1, -62
748, 1, 7, 1, -62
749, 1, 7, 1, -62
750, 1, 7, 1, -62
751, 1, 7, 1, -62
752, 1, 7, 1, -62
753, 1, 7, 1, -62
754, 1, 7, 1, -62
755, 1, 7, 1, -62
756, 1, 7, 1, -62
757, 1, 7, 1, -62
758, 1, 7, 1, -62
759, 1, 7, 1, -62
760, 0, 8, 1, -56
761, 0, 8, 1, -56
762, 0, 8, 1, -56
763, 0, 8, 1, -56
764, 0, 8, 1, -56
765, 0, 8, 1, -56
766, 0, 8, 1, -56
767, 0, 8, 1, -56
768, 0, 8, 1, -56
769, 0, 8, 1, -56
770, 0, 8, 1, -56
771, 0, 8, 1, -56
772, 0, 8, 1, -56
773, 0, 8, 1, -56
774, 0, 8, 1, -56
775, 0, 8, 1, -56
776, 0, 8, 1, -56
777, 0, 8, 1, -56
778, 0, 8, 1, -56
779, 0, 8, 1, -56
780, 1, 8, 1, -62
781, 1, 8, 1, -62
782, 1, 8, 1, -62
783, 1, 8, 1, -62
784, 1, 8, 1, -62
785, 1, 8, 1, -62
786, 1, 8, 1, -62
787, 1, 8, 1, -62
788, 1, 8, 1, -62
789, 1, 8, 1, -62
790, 1, 8, 1, -62
791, 1, 8, 1, -62
792, 1, 8, 1, -61
793, 1, 8, 1, -62
794, 1, 8, 1, -62
795, 1, 8, 1, -62
796, 1, 8, 1, -62
797, 1, 8, 1, -62
798, 1, 8, 1, -62
799, 1, 8, 1, -62
800, 0, -8, 2, -71
801, 0, -8, 2, -71
802, 0, -8, 2, -71
803, 0, -8, 2, -71
804, 0, -8, 2, -71
805, 0, -8, 2, -71
806, 0, -8, 2, -71
807, 0, -8, 2, -71
808, 0, -8, 2, -71
809, 0, -8, 2, -71
810, 0, -8, 2, -71
811, 0, -8, 2, -71
812, 0, -8, 2, -71
813, 0, -8, 2, -71
814, 0, -8, 2, -71
815, 0, -8, 2, -71
816, 0, -8, 2, -71
817, 0, -8, 2, -71
818, 0, -8, 2, -71
819, 0, -8, 2, -71
820, 1, -8, 2, -77
821, 1, -8, 2, -77
822, 1, -8, 2, -77
823, 1, -8, 2, -77
824, 1, -8, 2, -77
825, 1, -8, 2, -77
826, 1, -8, 2, -77
827, 1, -8, 2, -77
828, 1, -8, 2, -77
829, 1, -8, 2, -77
830, 1, -8, 2, -77
831, 1, -8, 2, -77
832, 1, -8, 2, -77
833, 1, -8, 2, -77
834, 1, -8, 2, -77
835, 1, -8, 2, -77
836, 1, -8, 2, -77
837, 1, -8, 2, -77
838, 1, -8, 2, -77
839, 1, -8, 2, -77
840, 0, -4, 2, -66
841, 0, -4, 2, -68
842, 0, -4, 2, -67
843, 0, -4, 2, -68
844, 0, -4, 2, -68
845, 0, -4, 2, -68
846, 0, -4, 2, -68
847, 0, -4, 2, -68
848, 0, -4, 2, -68
849, 0, -4, 2, -68
850, 0, -4, 2, -68
851, 0, -4, 2, -68
852, 0, -4, 2, -68
853, 0, -4, 2, -68
854, 0, -4, 2, -66
855, 0, -4, 2, -67
856, 0, -4, 2, -68
857, 0, -4, 2, -68
858, 0, -4, 2, -68
859, 0, -4, 2, -68
860, 1, -4, 2, -74
861, 1, -4, 2, -74
862, 1, -4, 2, -74
863, 1, -4, 2, -74
864, 1, -4, 2, -74
865, 1, -4, 2, -74
866, 1, -4, 2, -74
867, 1, -4, 2, -74
868, 1, -4, 2, -74
869, 1, -4, 2, -74
870, 1, -4, 2, -74
871, 1, -4, 2, -74
872, 1, -4, 2, -74
873, 1, -4, 2, -74
874, 1, -4, 2, -74
875, 1, -4, 2, -74
876, 1, -4, 2, -74
877, 1, -4, 2, -74
878, 1, -4, 2, -74
879, 1, -4, 2, -74
880, 0, 0, 2, -63
881, 0, 0, 2, -64
882, 0, 0, 2, -65
883, 0, 0, 2, -65
884, 0, 0, 2, -63
885, 0, 0, 2, -65
886, 0, 0, 2, -64
887, 0, 0, 2, -64
888, 0, 0, 2, -65
889, 0, 0, 2, -65
890, 0, 0, 2, -64
891, 0, 0, 2, -65
892, 0, 0, 2, -65
893, 0, 0, 2, -64
894, 0, 0, 2, -65
895, 0, 0, 2, -65
896, 0, 0, 2, -64
897, 0, 0, 2, -65
898, 0, 0, 2, -65
899, 0, 0, 2, -64
900, 1, 0, 2, -71
901, 1, 0, 2, -71
902, 1, 0, 2, -70
903, 1, 0, 2, -71
904, 1, 0, 2, -71
905, 1, 0, 2, -71
