Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-75.0
0,0,-4,-72.0
0,0,0,-67.0
0,0,2,-62.0
0,0,3,-61.0
0,0,4,-60.0
0,0,5,-60.0
0,0,6,-60.0
0,0,7,-59.0
0,0,8,-60.0
0,1,-8,-85.0
0,1,-4,-81.0
0,1,0,-77.0
0,1,2,-73.0
0,1,3,-72.0
0,1,4,-71.0
0,1,5,-70.0
0,1,6,-69.0
0,1,7,-69.0
0,1,8,-68.0
1,0,-8,-71.0
1,0,-4,-68.0
1,0,0,-64.0
1,0,2,-61.0
1,0,3,-60.0
1,0,4,-59.5
1,0,5,-59.0
1,0,6,-57.0
1,0,7,-57.0
1,0,8,-56.0
1,1,-8,-72.0
1,1,-4,-69.0
1,1,0,-65.0
1,1,2,-62.0
1,1,3,-61.0
1,1,4,-60.0
1,1,5,-60.0
1,1,6,-59.0
1,1,7,-58.0
1,1,8,-57.0
2,0,-8,-72.0
2,0,-4,-69.0
2,0,0,-65.0
2,0,2,-62.0
2,0,3,-60.5
2,0,4,-60.0
2,0,5,-60.0
2,0,6,-58.0
2,0,7,-58.0
2,0,8,-57.0
2,1,-8,-73.0
2,1,-4,-69.0
2,1,0,-66.0
2,1,2,-62.0
2,1,3,-62.0
2,1,4,-60.0
2,1,5,-60.0
2,1,6,-60.0
2,1,7,-60.0
2,1,8,-58.0
3,0,-8,-71.0
3,0,-4,-68.0
3,0,0,-64.0
3,0,2,-61.0
3,0,3,-60.0
3,0,4,-59.0
3,0,5,-59.0
3,0,6,-57.5
3,0,7,-57.0
3,0,8,-56.0
3,1,-8,-72.0
3,1,-4,-69.0
3,1,0,-65.0
3,1,2,-62.0
3,1,3,-61.0
3,1,4,-60.0
3,1,5,-60.0
3,1,6,-59.0
3,1,7,-58.0
3,1,8,-57.0
4,0,-8,-70.0
4,0,-4,-68.0
4,0,0,-64.0
4,0,2,-60.0
4,0,3,-60.0
4,0,4,-59.0
4,0,5,-58.0
4,0,6,-57.0
4,0,7,-56.0
4,0,8,-56.0
4,1,-8,-71.0
4,1,-4,-68.0
4,1,0,-64.0
4,1,2,-61.0
4,1,3,-60.0
4,1,4,-60.0
4,1,5,-59.0
4,1,6,-58.0
4,1,7,-57.0
4,1,8,-57.0
