Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, -81
1, 0, -8, 0, -82
2, 0, -8, 0, -82
3, 0, -8, 0, -82
4, 0, -8, 0, -82
5, 0, -8, 0, -82
6, 0, -8, 0, -82
7, 0, -8, 0, -82
8, 0, -8, 0, -82
9, 0, -8, 0, -82
10, 0, -8, 0, -82
11, 0, -8, 0, -82
12, 0, -8, 0, -82
13, 0, -8, 0, -82
14, 0, -8, 0, -82
15, 0, -8, 0, -82
16, 0, -8, 0, -82
17, 0, -8, 0, -82
18, 0, -8, 0, -81
19, 0, -8, 0, -82
20, 1, -8, 0, -79
21, 1, -8, 0, -78
22, 1, -8, 0, -78
23, 1, -8, 0, -78
24, 1, -8, 0, -78
25, 1, -8, 0, -78
26, 1, -8, 0, -78
27, 1, -8, 0, -79
28, 1, -8, 0, -78
29, 1, -8, 0, -78
30, 1, -8, 0, -78
31, 1, -8, 0, -78
32, 1, -8, 0, -78
33, 1, -8, 0, -78
34, 1, -8, 0, -78
35, 1, -8, 0, -78
36, 1, -8, 0, -78
37, 1, -8, 0, -78
38, 1, -8, 0, -78
39, 1, -8, 0, -78
40, 0, -4, 0, -79
41, 0, -4, 0, -78
42, 0, -4, 0, -78
43, 0, -4, 0, -78
44, 0, -4, 0, -79
45, 0, -4, 0, -78
46, 0, -4, 0, -79
47, 0, -4, 0, -78
48, 0, -4, 0, -79
49, 0, -4, 0, -78
50, 0, -4, 0, -79
51, 0, -4, 0, -78
52, 0, -4, 0, -79
53, 0, -4, 0, -79
54, 0, -4, 0, -78
55, 0, -4, 0, -79
56, 0, -4, 0, -79
57, 0, -4, 0, -78
58, 0, -4, 0, -79
59, 0, -4, 0, -79
60, 1, -4, 0, -75
61, 1, -4, 0, -75
62, 1, -4, 0, -75
63, 1, -4, 0, -75
64, 1, -4, 0, -74
65, 1, -4, 0, -75
66, 1, -4, 0, -75
67, 1, -4, 0, -75
68, 1, -4, 0, -75
69, 1, -4, 0, -75
70, 1, -4, 0, -75
71, 1, -4, 0, -75
72, 1, -4, 0, -75
73, 1, -4, 0, -75
74, 1, -4, 0, -75
75, 1, -4, 0, -75
76, 1, -4, 0, -75
77, 1, -4, 0, -75
78, 1, -4, 0, -75
79, 1, -4, 0, -75
80, 0, 0, 0, -75
81, 0, 0, 0, -74
82, 0, 0, 0, -74
83, 0, 0, 0, -75
84, 0, 0, 0, -75
85, 0, 0, 0, -74
86, 0, 0, 0, -74
87, 0, 0, 0, -74
88, 0, 0, 0, -75
89, 0, 0, 0, -74
90, 0, 0, 0, -75
91, 0, 0, 0, -74
92, 0, 0, 0, -74
93, 0, 0, 0, -74
94, 0, 0, 0, -75
95, 0, 0, 0, -75
96, 0, 0, 0, -75
97, 0, 0, 0, -74
98, 0, 0, 0, -75
99, 0, 0, 0, -74
100, 1, 0, 0, -71
101, 1, 0, 0, -71
102, 1, 0, 0, -71
103, 1, 0, 0, -71
104, 1, 0, 0, -71
105, 1, 0, 0, -71
106, 1, 0, 0, -71
107, 1, 0, 0, -71
108, 1, 0, 0, -71
109, 1, 0, 0, -71
110, 1, 0, 0, -71
111, 1, 0, 0, -71
112, 1, 0, 0, -71
113, 1, 0, 0, -71
114, 1, 0, 0, -71
115, 1, 0, 0, -71
116, 1, 0, 0, -71
117, 1, 0, 0, -71
118, 1, 0, 0, -71
119, 1, 0, 0, -71
120, 0, 2, 0, -69
121, 0, 2, 0, -69
122, 0, 2, 0, -70
123, 0, 2, 0, -69
124, 0, 2, 0, -69
125, 0, 2, 0, -69
126, 0, 2, 0, -69
127, 0, 2, 0, -69
128, 0, 2, 0, -69
129, 0, 2, 0, -69
130, 0, 2, 0, -70
131, 0, 2, 0, -69
132, 0, 2, 0, -69
133, 0, 2, 0, -69
134, 0, 2, 0, -69
135, 0, 2, 0, -69
136, 0, 2, 0, -69
137, 0, 2, 0, -69
138, 0, 2, 0, -69
139, 0, 2, 0, -69
140, 1, 2, 0, -65
141, 1, 2, 0, -65
142, 1, 2, 0, -66
143, 1, 2, 0, -66
144, 1, 2, 0, -65
145, 1, 2, 0, -65
146, 1, 2, 0, -65
147, 1, 2, 0, -65
148, 1, 2, 0, -65
149, 1, 2, 0, -66
150, 1, 2, 0, -65
151, 1, 2, 0, -66
152, 1, 2, 0, -65
153, 1, 2, 0, -66
154, 1, 2, 0, -65
155, 1, 2, 0, -65
156, 1, 2, 0, -65
157, 1, 2, 0, -65
158, 1, 2, 0, -65
