Measurement Number, Transmitter, TX Power, Mode, RSSI
0, 0, -8, 0, -89
1, 0, -8, 0, -90
2, 0, -8, 0, -90
3, 0, -8, 0, -90
4, 0, -8, 0, -90
5, 0, -8, 0, -90
6, 0, -8, 0, -89
7, 0, -8, 0, -91
8, 0, -8, 0, -89
9, 0, -8, 0, -91
10, 0, -8, 0, -90
11, 0, -8, 0, -90
12, 0, -8, 0, -89
13, 0, -8, 0, -89
14, 0, -8, 0, -89
15, 0, -8, 0, -91
16, 0, -8, 0, -90
17, 0, -8, 0, -90
18, 0, -8, 0, -90
19, 0, -8, 0, -90
20, 1, -8, 0, -87
21, 1, -8, 0, -87
22, 1, -8, 0, -86
23, 1, -8, 0, -87
24, 1, -8, 0, -87
25, 1, -8, 0, -87
26, 1, -8, 0, -86
27, 1, -8, 0, -87
28, 1, -8, 0, -87
29, 1, -8, 0, -87
30, 1, -8, 0, -87
31, 1, -8, 0, -86
32, 1, -8, 0, -87
33, 1, -8, 0, -87
34, 1, -8, 0, -86
35, 1, -8, 0, -87
36, 1, -8, 0, -86
37, 1, -8, 0, -87
38, 1, -8, 0, -87
39, 1, -8, 0, -87
40, 0, -4, 0, -87
41, 0, -4, 0, -87
42, 0, -4, 0, -87
43, 0, -4, 0, -87
44, 0, -4, 0, -86
45, 0, -4, 0, -86
46, 0, -4, 0, -87
47, 0, -4, 0, -86
48, 0, -4, 0, -86
49, 0, -4, 0, -87
50, 0, -4, 0, -87
51, 0, -4, 0, -88
52, 0, -4, 0, -86
53, 0, -4, 0, -87
54, 0, -4, 0, -86
55, 0, -4, 0, -87
56, 0, -4, 0, -86
57, 0, -4, 0, -87
58, 0, -4, 0, -87
59, 0, -4, 0, -87
60, 1, -4, 0, -84
61, 1, -4, 0, -83
62, 1, -4, 0, -83
63, 1, -4, 0, -83
64, 1, -4, 0, -84
65, 1, -4, 0, -83
66, 1, -4, 0, -84
67, 1, -4, 0, -84
68, 1, -4, 0, -83
69, 1, -4, 0, -83
70, 1, -4, 0, -83
71, 1, -4, 0, -83
72, 1, -4, 0, -83
73, 1, -4, 0, -84
74, 1, -4, 0, -83
75, 1, -4, 0, -83
76, 1, -4, 0, -84
77, 1, -4, 0, -83
78, 1, -4, 0, -84
79, 1, -4, 0, -83
80, 0, 0, 0, -83
81, 0, 0, 0, -83
82, 0, 0, 0, -82
83, 0, 0, 0, -83
84, 0, 0, 0, -83
85, 0, 0, 0, -83
86, 0, 0, 0, -83
87, 0, 0, 0, -83
88, 0, 0, 0, -83
89, 0, 0, 0, -82
90, 0, 0, 0, -82
91, 0, 0, 0, -82
92, 0, 0, 0, -82
93, 0, 0, 0, -82
94, 0, 0, 0, -82
95, 0, 0, 0, -82
96, 0, 0, 0, -82
97, 0, 0, 0, -83
98, 0, 0, 0, -82
99, 0, 0, 0, -83
100, 1, 0, 0, -79
