Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-90.0
0,0,-4,-87.0
0,0,0,-82.5
0,0,2,-77.0
0,0,3,-76.0
0,0,4,-76.0
0,0,5,-75.0
0,0,6,-74.0
0,0,7,-74.0
0,0,8,-73.0
0,1,-8,-87.0
0,1,-4,-83.0
0,1,0,-79.0
0,1,2,-74.5
0,1,3,-73.0
0,1,4,-73.0
0,1,5,-72.0
0,1,6,-71.0
0,1,7,-71.0
0,1,8,-70.0
1,0,-8,-74.0
1,0,-4,-71.0
1,0,0,-67.0
1,0,2,-63.0
1,0,3,-62.5
1,0,4,-62.0
1,0,5,-61.0
1,0,6,-60.0
1,0,7,-60.0
1,0,8,-59.0
1,1,-8,-73.0
1,1,-4,-70.0
1,1,0,-66.0
1,1,2,-63.0
1,1,3,-62.0
1,1,4,-61.0
1,1,5,-61.0
1,1,6,-60.0
1,1,7,-59.0
1,1,8,-59.0
2,0,-8,-74.5
2,0,-4,-72.0
2,0,0,-68.0
2,0,2,-64.0
2,0,3,-63.0
2,0,4,-62.0
2,0,5,-62.0
2,0,6,-61.0
2,0,7,-61.0
2,0,8,-60.0
2,1,-8,-74.0
2,1,-4,-71.0
2,1,0,-67.0
2,1,2,-63.0
2,1,3,-62.0
2,1,4,-62.0
2,1,5,-62.0
2,1,6,-60.0
2,1,7,-60.0
2,1,8,-60.0
3,0,-8,-74.0
3,0,-4,-71.0
3,0,0,-67.0
3,0,2,-63.0
3,0,3,-62.0
3,0,4,-62.0
3,0,5,-61.0
3,0,6,-61.0
3,0,7,-60.0
3,0,8,-59.0
3,1,-8,-73.0
3,1,-4,-70.0
3,1,0,-66.0
3,1,2,-63.0
3,1,3,-62.0
3,1,4,-61.0
3,1,5,-61.0
3,1,6,-60.0
3,1,7,-59.0
3,1,8,-59.0
4,0,-8,-73.0
4,0,-4,-70.0
4,0,0,-67.0
4,0,2,-63.0
4,0,3,-62.0
4,0,4,-61.0
4,0,5,-61.0
4,0,6,-60.0
4,0,7,-59.0
4,0,8,-59.0
4,1,-8,-72.0
4,1,-4,-69.0
4,1,0,-66.0
4,1,2,-62.0
4,1,3,-61.0
4,1,4,-61.0
4,1,5,-60.0
4,1,6,-59.0
4,1,7,-59.0
4,1,8,-58.0
