Measurement Number, Transmitter, TX Power, Mode, RSSI
226, 1, 4, 0, -75
227, 1, 4, 0, -75
228, 1, 4, 0, -75
229, 1, 4, 0, -75
230, 1, 4, 0, -75
231, 1, 4, 0, -75
232, 1, 4, 0, -76
233, 1, 4, 0, -75
234, 1, 4, 0, -76
235, 1, 4, 0, -76
236, 1, 4, 0, -75
237, 1, 4, 0, -75
238, 1, 4, 0, -75
239, 1, 4, 0, -75
240, 0, 5, 0, -78
241, 0, 5, 0, -77
242, 0, 5, 0, -77
243, 0, 5, 0, -77
244, 0, 5, 0, -77
245, 0, 5, 0, -77
246, 0, 5, 0, -78
247, 0, 5, 0, -77
248, 0, 5, 0, -77
249, 0, 5, 0, -77
250, 0, 5, 0, -78
251, 0, 5, 0, -77
252, 0, 5, 0, -77
253, 0, 5, 0, -77
254, 0, 5, 0, -78
255, 0, 5, 0, -77
256, 0, 5, 0, -78
257, 0, 5, 0, -77
258, 0, 5, 0, -78
259, 0, 5, 0, -77
260, 1, 5, 0, -75
261, 1, 5, 0, -75
262, 1, 5, 0, -75
263, 1, 5, 0, -75
264, 1, 5, 0, -75
265, 1, 5, 0, -75
266, 1, 5, 0, -75
267, 1, 5, 0, -75
268, 1, 5, 0, -75
269, 1, 5, 0, -75
270, 1, 5, 0, -75
271, 1, 5, 0, -75
272, 1, 5, 0, -75
273, 1, 5, 0, -75
274, 1, 5, 0, -75
275, 1, 5, 0, -75
276, 1, 5, 0, -75
277, 1, 5, 0, -75
278, 1, 5, 0, -75
279, 1, 5, 0, -75
280, 0, 6, 0, -77
281, 0, 6, 0, -76
282, 0, 6, 0, -77
283, 0, 6, 0, -76
284, 0, 6, 0, -76
285, 0, 6, 0, -76
286, 0, 6, 0, -77
287, 0, 6, 0, -76
288, 0, 6, 0, -76
289, 0, 6, 0, -76
290, 0, 6, 0, -77
291, 0, 6, 0, -76
292, 0, 6, 0, -77
293, 0, 6, 0, -76
294, 0, 6, 0, -77
295, 0, 6, 0, -76
296, 0, 6, 0, -76
297, 0, 6, 0, -76
298, 0, 6, 0, -77
299, 0, 6, 0, -76
300, 1, 6, 0, -74
301, 1, 6, 0, -74
302, 1, 6, 0, -74
303, 1, 6, 0, -74
304, 1, 6, 0, -74
305, 1, 6, 0, -74
306, 1, 6, 0, -74
307, 1, 6, 0, -74
308, 1, 6, 0, -74
309, 1, 6, 0, -74
310, 1, 6, 0, -74
311, 1, 6, 0, -74
312, 1, 6, 0, -74
313, 1, 6, 0, -74
314, 1, 6, 0, -74
315, 1, 6, 0, -74
316, 1, 6, 0, -74
317, 1, 6, 0, -74
318, 1, 6, 0, -74
319, 1, 6, 0, -74
320, 0, 7, 0, -76
321, 0, 7, 0, -76
322, 0, 7, 0, -76
323, 0, 7, 0, -76
324, 0, 7, 0, -76
325, 0, 7, 0, -76
326, 0, 7, 0, -76
327, 0, 7, 0, -75
328, 0, 7, 0, -76
329, 0, 7, 0, -76
330, 0, 7, 0, -76
331, 0, 7, 0, -76
332, 0, 7, 0, -76
333, 0, 7, 0, -75
334, 0, 7, 0, -76
335, 0, 7, 0, -76
336, 0, 7, 0, -76
337, 0, 7, 0, -76
338, 0, 7, 0, -76
339, 0, 7, 0, -76
340, 1, 7, 0, -73
341, 1, 7, 0, -73
342, 1, 7, 0, -73
343, 1, 7, 0, -73
344, 1, 7, 0, -73
345, 1, 7, 0, -73
346, 1, 7, 0, -73
347, 1, 7, 0, -73
348, 1, 7, 0, -73
349, 1, 7, 0, -73
350, 1, 7, 0, -73
351, 1, 7, 0, -73
352, 1, 7, 0, -73
353, 1, 7, 0, -73
354, 1, 7, 0, -73
355, 1, 7, 0, -73
356, 1, 7, 0, -73
357, 1, 7, 0, -73
358, 1, 7, 0, -73
359, 1, 7, 0, -73
360, 0, 8, 0, -76
361, 0, 8, 0, -75
362, 0, 8, 0, -76
363, 0, 8, 0, -75
364, 0, 8, 0, -76
365, 0, 8, 0, -75
366, 0, 8, 0, -76
367, 0, 8, 0, -75
368, 0, 8, 0, -76
369, 0, 8, 0, -75
370, 0, 8, 0, -75
371, 0, 8, 0, -75
372, 0, 8, 0, -75
373, 0, 8, 0, -75
374, 0, 8, 0, -76
375, 0, 8, 0, -75
376, 0, 8, 0, -76
377, 0, 8, 0, -75
378, 0, 8, 0, -76
379, 0, 8, 0, -75
380, 1, 8, 0, -73
381, 1, 8, 0, -73
382, 1, 8, 0, -73
383, 1, 8, 0, -73
384, 1, 8, 0, -73
385, 1, 8, 0, -73
386, 1, 8, 0, -73
387, 1, 8, 0, -73
388, 1, 8, 0, -72
389, 1, 8, 0, -73
390, 1, 8, 0, -73
391, 1, 8, 0, -73
392, 1, 8, 0, -73
393, 1, 8, 0, -73
