Measurement Number, Transmitter, TX Power, Mode, RSSI
194, 1, 3, 0, -66
195, 1, 3, 0, -66
196, 1, 3, 0, -66
197, 1, 3, 0, -66
198, 1, 3, 0, -66
199, 1, 3, 0, -66
200, 0, 4, 0, -90
201, 0, 4, 0, -89
202, 0, 4, 0, -89
203, 0, 4, 0, -89
204, 0, 4, 0, -90
205, 0, 4, 0, -90
206, 0, 4, 0, -89
207, 0, 4, 0, -89
208, 0, 4, 0, -89
209, 0, 4, 0, -89
210, 0, 4, 0, -89
211, 0, 4, 0, -90
212, 0, 4, 0, -90
213, 0, 4, 0, -89
214, 0, 4, 0, -90
215, 0, 4, 0, -89
216, 0, 4, 0, -89
217, 0, 4, 0, -89
218, 0, 4, 0, -90
219, 0, 4, 0, -90
220, 1, 4, 0, -65
221, 1, 4, 0, -66
222, 1, 4, 0, -66
223, 1, 4, 0, -65
224, 1, 4, 0, -65
225, 1, 4, 0, -65
226, 1, 4, 0, -66
227, 1, 4, 0, -65
228, 1, 4, 0, -65
229, 1, 4, 0, -66
230, 1, 4, 0, -65
231, 1, 4, 0, -66
232, 1, 4, 0, -66
233, 1, 4, 0, -65
234, 1, 4, 0, -65
235, 1, 4, 0, -65
236, 1, 4, 0, -65
237, 1, 4, 0, -65
238, 1, 4, 0, -66
239, 1, 4, 0, -66
240, 0, 5, 0, -89
241, 0, 5, 0, -89
242, 0, 5, 0, -89
243, 0, 5, 0, -89
244, 0, 5, 0, -89
245, 0, 5, 0, -88
246, 0, 5, 0, -90
247, 0, 5, 0, -89
248, 0, 5, 0, -90
249, 0, 5, 0, -89
250, 0, 5, 0, -90
251, 0, 5, 0, -89
252, 0, 5, 0, -90
253, 0, 5, 0, -88
254, 0, 5, 0, -89
255, 0, 5, 0, -90
256, 0, 5, 0, -89
257, 0, 5, 0, -89
258, 0, 5, 0, -90
259, 0, 5, 0, -89
260, 1, 5, 0, -65
261, 1, 5, 0, -65
262, 1, 5, 0, -65
263, 1, 5, 0, -65
264, 1, 5, 0, -65
265, 1, 5, 0, -66
266, 1, 5, 0, -65
267, 1, 5, 0, -65
268, 1, 5, 0, -65
269, 1, 5, 0, -65
270, 1, 5, 0, -65
271, 1, 5, 0, -65
272, 1, 5, 0, -65
273, 1, 5, 0, -65
274, 1, 5, 0, -65
275, 1, 5, 0, -65
276, 1, 5, 0, -65
277, 1, 5, 0, -65
278, 1, 5, 0, -65
279, 1, 5, 0, -65
280, 0, 6, 0, -89
281, 0, 6, 0, -88
282, 0, 6, 0, -89
283, 0, 6, 0, -88
284, 0, 6, 0, -89
285, 0, 6, 0, -88
286, 0, 6, 0, -88
287, 0, 6, 0, -88
288, 0, 6, 0, -88
289, 0, 6, 0, -88
290, 0, 6, 0, -88
291, 0, 6, 0, -88
292, 0, 6, 0, -89
293, 0, 6, 0, -88
294, 0, 6, 0, -89
295, 0, 6, 0, -88
296, 0, 6, 0, -88
297, 0, 6, 0, -88
298, 0, 6, 0, -89
299, 0, 6, 0, -88
300, 1, 6, 0, -64
301, 1, 6, 0, -64
302, 1, 6, 0, -64
303, 1, 6, 0, -64
304, 1, 6, 0, -64
305, 1, 6, 0, -64
306, 1, 6, 0, -64
307, 1, 6, 0, -64
308, 1, 6, 0, -64
309, 1, 6, 0, -64
310, 1, 6, 0, -64
311, 1, 6, 0, -64
312, 1, 6, 0, -64
313, 1, 6, 0, -64
314, 1, 6, 0, -64
315, 1, 6, 0, -64
316, 1, 6, 0, -64
317, 1, 6, 0, -64
318, 1, 6, 0, -64
319, 1, 6, 0, -64
320, 0, 7, 0, -88
321, 0, 7, 0, -88
322, 0, 7, 0, -89
323, 0, 7, 0, -88
324, 0, 7, 0, -88
325, 0, 7, 0, -87
326, 0, 7, 0, -88
327, 0, 7, 0, -88
328, 0, 7, 0, -88
329, 0, 7, 0, -87
330, 0, 7, 0, -89
331, 0, 7, 0, -88
332, 0, 7, 0, -88
333, 0, 7, 0, -88
334, 0, 7, 0, -88
335, 0, 7, 0, -88
336, 0, 7, 0, -88
337, 0, 7, 0, -88
338, 0, 7, 0, -88
339, 0, 7, 0, -87
340, 1, 7, 0, -64
341, 1, 7, 0, -63
342, 1, 7, 0, -63
343, 1, 7, 0, -63
344, 1, 7, 0, -63
345, 1, 7, 0, -63
346, 1, 7, 0, -63
347, 1, 7, 0, -63
348, 1, 7, 0, -63
349, 1, 7, 0, -63
350, 1, 7, 0, -63
351, 1, 7, 0, -63
352, 1, 7, 0, -63
353, 1, 7, 0, -63
354, 1, 7, 0, -63
355, 1, 7, 0, -63
356, 1, 7, 0, -63
357, 1, 7, 0, -63
358, 1, 7, 0, -64
359, 1, 7, 0, -63
360, 0, 8, 0, -87
361, 0, 8, 0, -87
362, 0, 8, 0, -87
363, 0, 8, 0, -87
364, 0, 8, 0, -88
365, 0, 8, 0, -87
366, 0, 8, 0, -88
367, 0, 8, 0, -86
368, 0, 8, 0, -87
369, 0, 8, 0, -87
370, 0, 8, 0, -87
371, 0, 8, 0, -87
372, 0, 8, 0, -87
373, 0, 8, 0, -86
374, 0, 8, 0, -87
375, 0, 8, 0, -87
376, 0, 8, 0, -87
377, 0, 8, 0, -87
378, 0, 8, 0, -87
379, 0, 8, 0, -87
380, 1, 8, 0, -63
381, 1, 8, 0, -64
382, 1, 8, 0, -63
383, 1, 8, 0, -63
384, 1, 8, 0, -64
385, 1, 8, 0, -63
386, 1, 8, 0, -63
387, 1, 8, 0, -63
388, 1, 8, 0, -63
389, 1, 8, 0, -63
390, 1, 8, 0, -63
391, 1, 8, 0, -63
392, 1, 8, 0, -63
393, 1, 8, 0, -64
394, 1, 8, 0, -63
395, 1, 8, 0, -64
396, 1, 8, 0, -63
397, 1, 8, 0, -63
398, 1, 8, 0, -63
399, 1, 8, 0, -63
400, 0, -8, 1, -71
401, 0, -8, 1, -71
402, 0, -8, 1, -71
403, 0, -8, 1, -71
404, 0, -8, 1, -71
405, 0, -8, 1, -71
406, 0, -8, 1, -71
407, 0, -8, 1, -71
408, 0, -8, 1, -71
409, 0, -8, 1, -71
410, 0, -8, 1, -71
411, 0, -8, 1, -71
412, 0, -8, 1, -71
413, 0, -8, 1, -71
414, 0, -8, 1, -71
415, 0, -8, 1, -71
416, 0, -8, 1, -71
