TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,,50.0,100.0,100.0,0.0
-120,,50.0,100.0,100.0,0.0
-100,,50.0,100.0,100.0,0.0
-90,,50.0,100.0,100.0,0.0
-80,,50.0,100.0,100.0,35.0
-70,,50.0,100.0,100.0,100.0
-60,,50.0,100.0,100.0,100.0
-50,,50.0,100.0,100.0,100.0
-40,,50.0,100.0,100.0,100.0
-30,,50.0,100.0,100.0,100.0
-20,,50.0,100.0,100.0,100.0
-10,,50.0,100.0,100.0,100.0
0,,100.0,100.0,100.0,100.0
10,,100.0,100.0,100.0,100.0
20,,100.0,100.0,100.0,100.0
30,,100.0,100.0,100.0,100.0
40,,100.0,100.0,100.0,100.0
50,,100.0,100.0,100.0,100.0
60,,100.0,100.0,100.0,100.0
70,,100.0,100.0,100.0,100.0
80,,100.0,100.0,100.0,100.0
90,,100.0,100.0,100.0,100.0
100,,100.0,100.0,100.0,100.0
120,,100.0,100.0,100.0,100.0
140,,100.0,100.0,100.0,100.0
