TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,,100.0,95.0,100.0,100.0
-120,,100.0,100.0,100.0,100.0
-100,,100.0,95.0,100.0,100.0
-90,,80.0,100.0,100.0,100.0
-80,,85.0,100.0,100.0,100.0
-70,,95.0,100.0,100.0,100.0
-60,,70.0,100.0,100.0,100.0
-50,,95.0,100.0,100.0,100.0
-40,,95.0,100.0,100.0,100.0
-30,,90.0,100.0,100.0,100.0
-20,,95.0,100.0,100.0,100.0
-10,,95.0,100.0,100.0,100.0
0,,100.0,100.0,100.0,100.0
10,,95.0,100.0,100.0,100.0
20,,85.0,95.0,100.0,100.0
30,,90.0,100.0,100.0,100.0
40,,95.0,100.0,100.0,100.0
50,,100.0,100.0,100.0,100.0
60,,95.0,100.0,100.0,100.0
70,,95.0,100.0,100.0,100.0
80,,95.0,100.0,100.0,100.0
90,,95.0,100.0,100.0,100.0
100,,100.0,100.0,100.0,100.0
120,,95.0,100.0,100.0,100.0
140,,90.0,95.0,100.0,100.0
