Measurement Number, Transmitter, TX Power, Mode, RSSI
226, 1, 4, 0, -63
227, 1, 4, 0, -63
228, 1, 4, 0, -63
229, 1, 4, 0, -63
230, 1, 4, 0, -64
231, 1, 4, 0, -63
232, 1, 4, 0, -63
233, 1, 4, 0, -63
234, 1, 4, 0, -63
235, 1, 4, 0, -63
236, 1, 4, 0, -63
237, 1, 4, 0, -63
238, 1, 4, 0, -63
239, 1, 4, 0, -63
240, 0, 5, 0, -66
241, 0, 5, 0, -66
242, 0, 5, 0, -66
243, 0, 5, 0, -66
244, 0, 5, 0, -66
245, 0, 5, 0, -66
246, 0, 5, 0, -66
247, 0, 5, 0, -66
248, 0, 5, 0, -66
249, 0, 5, 0, -66
250, 0, 5, 0, -66
251, 0, 5, 0, -66
252, 0, 5, 0, -66
253, 0, 5, 0, -66
254, 0, 5, 0, -66
255, 0, 5, 0, -66
256, 0, 5, 0, -66
257, 0, 5, 0, -66
258, 0, 5, 0, -66
259, 0, 5, 0, -66
260, 1, 5, 0, -62
261, 1, 5, 0, -63
262, 1, 5, 0, -62
263, 1, 5, 0, -63
264, 1, 5, 0, -63
265, 1, 5, 0, -63
266, 1, 5, 0, -62
267, 1, 5, 0, -62
268, 1, 5, 0, -63
269, 1, 5, 0, -62
270, 1, 5, 0, -62
271, 1, 5, 0, -62
272, 1, 5, 0, -63
273, 1, 5, 0, -62
274, 1, 5, 0, -62
275, 1, 5, 0, -62
276, 1, 5, 0, -62
277, 1, 5, 0, -64
278, 1, 5, 0, -62
279, 1, 5, 0, -62
280, 0, 6, 0, -65
281, 0, 6, 0, -65
282, 0, 6, 0, -65
283, 0, 6, 0, -65
284, 0, 6, 0, -65
285, 0, 6, 0, -65
286, 0, 6, 0, -65
287, 0, 6, 0, -65
288, 0, 6, 0, -65
289, 0, 6, 0, -65
290, 0, 6, 0, -65
291, 0, 6, 0, -65
292, 0, 6, 0, -65
293, 0, 6, 0, -65
294, 0, 6, 0, -65
295, 0, 6, 0, -65
296, 0, 6, 0, -65
297, 0, 6, 0, -65
298, 0, 6, 0, -65
299, 0, 6, 0, -65
300, 1, 6, 0, -62
301, 1, 6, 0, -62
302, 1, 6, 0, -62
303, 1, 6, 0, -62
304, 1, 6, 0, -62
305, 1, 6, 0, -62
306, 1, 6, 0, -62
307, 1, 6, 0, -62
308, 1, 6, 0, -62
309, 1, 6, 0, -62
310, 1, 6, 0, -62
311, 1, 6, 0, -62
312, 1, 6, 0, -62
313, 1, 6, 0, -62
314, 1, 6, 0, -62
315, 1, 6, 0, -62
316, 1, 6, 0, -62
317, 1, 6, 0, -62
318, 1, 6, 0, -62
319, 1, 6, 0, -62
320, 0, 7, 0, -64
321, 0, 7, 0, -64
322, 0, 7, 0, -64
323, 0, 7, 0, -65
324, 0, 7, 0, -64
325, 0, 7, 0, -64
326, 0, 7, 0, -64
327, 0, 7, 0, -64
328, 0, 7, 0, -64
329, 0, 7, 0, -64
330, 0, 7, 0, -64
331, 0, 7, 0, -64
332, 0, 7, 0, -64
333, 0, 7, 0, -64
334, 0, 7, 0, -64
335, 0, 7, 0, -64
336, 0, 7, 0, -64
337, 0, 7, 0, -64
338, 0, 7, 0, -64
339, 0, 7, 0, -64
340, 1, 7, 0, -61
341, 1, 7, 0, -61
342, 1, 7, 0, -61
343, 1, 7, 0, -61
344, 1, 7, 0, -61
345, 1, 7, 0, -61
346, 1, 7, 0, -61
347, 1, 7, 0, -61
348, 1, 7, 0, -61
349, 1, 7, 0, -61
350, 1, 7, 0, -61
351, 1, 7, 0, -61
352, 1, 7, 0, -61
353, 1, 7, 0, -61
354, 1, 7, 0, -61
355, 1, 7, 0, -61
356, 1, 7, 0, -61
357, 1, 7, 0, -61
358, 1, 7, 0, -61
359, 1, 7, 0, -61
360, 0, 8, 0, -64
361, 0, 8, 0, -64
362, 0, 8, 0, -64
363, 0, 8, 0, -64
364, 0, 8, 0, -64
365, 0, 8, 0, -64
366, 0, 8, 0, -64
367, 0, 8, 0, -64
368, 0, 8, 0, -64
369, 0, 8, 0, -64
370, 0, 8, 0, -64
371, 0, 8, 0, -64
372, 0, 8, 0, -64
373, 0, 8, 0, -64
374, 0, 8, 0, -64
375, 0, 8, 0, -64
376, 0, 8, 0, -64
377, 0, 8, 0, -64
378, 0, 8, 0, -64
379, 0, 8, 0, -64
380, 1, 8, 0, -61
381, 1, 8, 0, -62
382, 1, 8, 0, -62
383, 1, 8, 0, -61
384, 1, 8, 0, -62
385, 1, 8, 0, -61
386, 1, 8, 0, -61
387, 1, 8, 0, -61
388, 1, 8, 0, -61
389, 1, 8, 0, -61
390, 1, 8, 0, -61
391, 1, 8, 0, -61
392, 1, 8, 0, -62
393, 1, 8, 0, -61
394, 1, 8, 0, -61
395, 1, 8, 0, -61
396, 1, 8, 0, -61
397, 1, 8, 0, -61
398, 1, 8, 0, -62
399, 1, 8, 0, -61
400, 0, -8, 1, -80
401, 0, -8, 1, -80
402, 0, -8, 1, -80
403, 0, -8, 1, -80
404, 0, -8, 1, -80
405, 0, -8, 1, -81
406, 0, -8, 1, -80
407, 0, -8, 1, -80
408, 0, -8, 1, -80
409, 0, -8, 1, -80
410, 0, -8, 1, -80
411, 0, -8, 1, -80
412, 0, -8, 1, -80
413, 0, -8, 1, -80
414, 0, -8, 1, -80
415, 0, -8, 1, -80
416, 0, -8, 1, -80
417, 0, -8, 1, -80
418, 0, -8, 1, -80
419, 0, -8, 1, -80
420, 1, -8, 1, -72
421, 1, -8, 1, -72
422, 1, -8, 1, -72
423, 1, -8, 1, -72
424, 1, -8, 1, -72
425, 1, -8, 1, -72
426, 1, -8, 1, -72
427, 1, -8, 1, -72
428, 1, -8, 1, -72
429, 1, -8, 1, -72
430, 1, -8, 1, -72
431, 1, -8, 1, -72
432, 1, -8, 1, -72
433, 1, -8, 1, -72
434, 1, -8, 1, -72
435, 1, -8, 1, -72
436, 1, -8, 1, -72
437, 1, -8, 1, -72
438, 1, -8, 1, -72
439, 1, -8, 1, -72
440, 0, -4, 1, -77
441, 0, -4, 1, -77
442, 0, -4, 1, -77
443, 0, -4, 1, -77
444, 0, -4, 1, -77
445, 0, -4, 1, -77
446, 0, -4, 1, -77
447, 0, -4, 1, -77
448, 0, -4, 1, -77
449, 0, -4, 1, -77
450, 0, -4, 1, -77
451, 0, -4, 1, -77
452, 0, -4, 1, -77
453, 0, -4, 1, -77
454, 0, -4, 1, -77
455, 0, -4, 1, -77
456, 0, -4, 1, -77
457, 0, -4, 1, -77
458, 0, -4, 1, -77
459, 0, -4, 1, -77
460, 1, -4, 1, -69
461, 1, -4, 1, -69
462, 1, -4, 1, -69
463, 1, -4, 1, -69
464, 1, -4, 1, -69
465, 1, -4, 1, -69
466, 1, -4, 1, -69
467, 1, -4, 1, -69
468, 1, -4, 1, -69
469, 1, -4, 1, -69
470, 1, -4, 1, -69
471, 1, -4, 1, -69
472, 1, -4, 1, -69
473, 1, -4, 1, -69
474, 1, -4, 1, -69
475, 1, -4, 1, -69
476, 1, -4, 1, -69
477, 1, -4, 1, -69
478, 1, -4, 1, -69
479, 1, -4, 1, -69
480, 0, 0, 1, -73
481, 0, 0, 1, -74
482, 0, 0, 1, -73
483, 0, 0, 1, -74
484, 0, 0, 1, -74
485, 0, 0, 1, -74
