Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-79.0
0,0,-4,-76.0
0,0,0,-72.0
0,0,2,-67.0
0,0,3,-66.0
0,0,4,-65.0
0,0,5,-64.0
0,0,6,-63.0
0,0,7,-63.0
0,0,8,-62.0
0,1,-8,-79.0
0,1,-4,-76.0
0,1,0,-72.0
0,1,2,-67.0
0,1,3,-66.0
0,1,4,-65.0
0,1,5,-64.0
0,1,6,-63.0
0,1,7,-63.0
0,1,8,-62.0
1,0,-8,-76.0
1,0,-4,-73.0
1,0,0,-70.0
1,0,2,-66.0
1,0,3,-65.0
1,0,4,-64.0
1,0,5,-64.0
1,0,6,-63.0
1,0,7,-62.0
1,0,8,-62.0
1,1,-8,-73.0
1,1,-4,-70.0
1,1,0,-66.0
1,1,2,-62.0
1,1,3,-61.0
1,1,4,-61.0
1,1,5,-60.0
1,1,6,-59.0
1,1,7,-59.0
1,1,8,-57.0
2,0,-8,-77.0
2,0,-4,-74.0
2,0,0,-71.0
2,0,2,-67.0
2,0,3,-66.0
2,0,4,-65.0
2,0,5,-64.0
2,0,6,-63.0
2,0,7,-63.0
2,0,8,-62.0
2,1,-8,-73.0
2,1,-4,-70.0
2,1,0,-67.0
2,1,2,-62.5
2,1,3,-62.0
2,1,4,-61.0
2,1,5,-60.5
2,1,6,-60.0
2,1,7,-60.0
2,1,8,-58.0
3,0,-8,-77.0
3,0,-4,-73.0
3,0,0,-70.0
3,0,2,-66.0
3,0,3,-65.0
3,0,4,-64.0
3,0,5,-64.0
3,0,6,-63.0
3,0,7,-62.0
3,0,8,-62.0
3,1,-8,-73.0
3,1,-4,-70.0
3,1,0,-66.0
3,1,2,-62.0
3,1,3,-61.0
3,1,4,-61.0
3,1,5,-60.0
3,1,6,-59.0
3,1,7,-59.0
3,1,8,-58.0
4,0,-8,-76.0
4,0,-4,-73.0
4,0,0,-69.0
4,0,2,-66.0
4,0,3,-64.0
4,0,4,-64.0
4,0,5,-63.0
4,0,6,-62.0
4,0,7,-62.0
4,0,8,-61.0
4,1,-8,-72.0
4,1,-4,-69.0
4,1,0,-65.0
4,1,2,-61.0
4,1,3,-61.0
4,1,4,-60.0
4,1,5,-60.0
4,1,6,-59.0
4,1,7,-58.0
4,1,8,-57.0
