TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,85.0,70.0,100.0,,,,,,,0.0,,,,,
-120,65.0,60.0,85.0,,,,,,,0.0,,,,,
-100,52.5,45.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,65.0
-90,65.0,60.0,70.0,,,,,,,0.0,,,,,
-80,90.0,80.0,100.0,,,,,,,0.0,,,,,
-70,75.0,75.0,100.0,,,,,,,0.0,,,,,
-60,85.0,75.0,95.0,,,,,,,0.0,,,,,
-50,82.5,75.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,55.0
-40,55.0,45.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,65.0
-30,47.5,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
-20,47.5,40.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,55.0
-10,37.5,30.0,40.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,90.0,15.0,95.0
0,95.0,90.0,100.0,65.0,65.0,80.0,75.0,65.0,85.0,82.5,50.0,95.0,100.0,100.0,100.0
10,55.0,25.0,60.0,0.0,0.0,10.0,20.0,5.0,25.0,12.5,0.0,20.0,90.0,25.0,95.0
20,47.5,45.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,80.0
30,37.5,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0
40,70.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
50,72.5,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,80.0
60,55.0,45.0,80.0,,,,,,,0.0,,,,,
70,35.0,25.0,90.0,,,,,,,0.0,,,,,
80,50.0,30.0,80.0,,,,,,,0.0,,,,,
90,35.0,10.0,55.0,,,,,,,0.0,,,,,
100,65.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0
120,80.0,75.0,95.0,,,,,,,0.0,,,,,
140,85.0,80.0,100.0,,,,,,,0.0,,,,,
