TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,,100.0,100.0,100.0,100.0
-120,,90.0,100.0,100.0,100.0
-100,100.0,95.0,100.0,100.0,97.5
-90,,97.5,100.0,100.0,100.0
-80,,87.5,100.0,100.0,100.0
-70,,95.0,100.0,100.0,100.0
-60,,90.0,100.0,100.0,100.0
-50,100.0,100.0,100.0,100.0,100.0
-40,100.0,100.0,100.0,100.0,100.0
-30,100.0,97.5,100.0,97.5,100.0
-20,100.0,92.5,100.0,100.0,100.0
-10,100.0,90.0,100.0,100.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0,100.0
20,100.0,95.0,100.0,100.0,100.0
30,100.0,95.0,100.0,100.0,100.0
40,100.0,90.0,100.0,100.0,100.0
50,100.0,92.5,100.0,100.0,100.0
60,,85.0,100.0,100.0,100.0
70,,85.0,100.0,100.0,100.0
80,,87.5,100.0,100.0,100.0
90,,90.0,100.0,100.0,100.0
100,100.0,92.5,100.0,100.0,100.0
120,,100.0,100.0,100.0,100.0
140,,92.5,100.0,100.0,100.0
