TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,82.5,100.0
-120,100.0,0.0,5.0,80.0,100.0
-100,100.0,0.0,0.0,70.0,85.0
-90,100.0,0.0,0.0,60.0,75.0
-80,100.0,0.0,0.0,87.5,85.0
-70,100.0,0.0,5.0,75.0,85.0
-60,100.0,0.0,10.0,67.5,85.0
-50,100.0,0.0,0.0,95.0,100.0
-40,100.0,0.0,5.0,100.0,100.0
-30,100.0,0.0,12.5,55.0,65.0
-20,100.0,0.0,12.5,80.0,85.0
-10,92.5,42.5,52.5,75.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,25.0,82.5,90.0,100.0
20,100.0,0.0,35.0,95.0,100.0
30,100.0,0.0,2.5,75.0,75.0
40,100.0,0.0,5.0,60.0,70.0
50,100.0,0.0,10.0,90.0,100.0
60,100.0,0.0,5.0,85.0,80.0
70,100.0,0.0,0.0,65.0,90.0
80,100.0,0.0,15.0,90.0,100.0
90,100.0,0.0,10.0,82.5,90.0
100,100.0,0.0,0.0,70.0,55.0
120,100.0,0.0,0.0,92.5,100.0
140,100.0,0.0,0.0,67.5,100.0
