TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,95.0,60.0,70.0,100.0
-120,100.0,95.0,55.0,95.0,100.0
-100,100.0,92.5,67.5,95.0,100.0
-90,100.0,87.5,52.5,100.0,100.0
-80,100.0,85.0,55.0,100.0,100.0
-70,100.0,85.0,62.5,95.0,100.0
-60,100.0,82.5,80.0,100.0,100.0
-50,100.0,90.0,67.5,100.0,100.0
-40,100.0,95.0,72.5,100.0,100.0
-30,100.0,85.0,87.5,100.0,100.0
-20,100.0,95.0,85.0,45.0,100.0
-10,100.0,100.0,100.0,60.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,92.5,100.0,55.0,100.0
20,100.0,95.0,72.5,90.0,100.0
30,100.0,100.0,75.0,100.0,100.0
40,100.0,95.0,67.5,100.0,100.0
50,100.0,100.0,67.5,100.0,100.0
60,100.0,100.0,57.5,90.0,100.0
70,100.0,95.0,57.5,100.0,100.0
80,100.0,95.0,67.5,100.0,100.0
90,100.0,92.5,60.0,95.0,100.0
100,100.0,95.0,65.0,95.0,100.0
120,100.0,95.0,55.0,75.0,100.0
140,100.0,95.0,52.5,65.0,100.0
