TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,10.0,0.0,12.5,100.0
-120,100.0,15.0,0.0,10.0,100.0
-100,100.0,12.5,0.0,25.0,95.0
-90,100.0,10.0,0.0,55.0,100.0
-80,100.0,15.0,0.0,15.0,100.0
-70,100.0,0.0,0.0,42.5,90.0
-60,100.0,5.0,0.0,35.0,97.5
-50,100.0,12.5,0.0,55.0,100.0
-40,100.0,10.0,2.5,45.0,95.0
-30,100.0,17.5,5.0,35.0,90.0
-20,100.0,25.0,22.5,15.0,100.0
-10,100.0,80.0,40.0,20.0,100.0
0,100.0,100.0,100.0,100.0,100.0
10,100.0,42.5,30.0,30.0,100.0
20,100.0,25.0,12.5,20.0,95.0
30,100.0,5.0,0.0,45.0,100.0
40,100.0,15.0,0.0,65.0,100.0
50,100.0,20.0,0.0,70.0,100.0
60,100.0,15.0,0.0,32.5,87.5
70,100.0,10.0,0.0,47.5,100.0
80,100.0,10.0,0.0,37.5,100.0
90,100.0,5.0,0.0,62.5,92.5
100,100.0,7.5,0.0,50.0,100.0
120,100.0,5.0,0.0,7.5,100.0
140,100.0,5.0,0.0,12.5,92.5
