TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,,,0.0,,,0.0,,,25.0,0.0,35.0,97.5,,
-120,100.0,,,0.0,,,0.0,,,10.0,0.0,30.0,100.0,,
-100,85.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,55.0,52.5,50.0,75.0
-90,100.0,,,0.0,,,0.0,,,10.0,0.0,10.0,40.0,,
-80,100.0,,,0.0,,,0.0,,,20.0,0.0,20.0,75.0,,
-75,100.0,,,0.0,,,0.0,,,67.5,,,82.5,,
-70,100.0,,,0.0,,,0.0,,,0.0,0.0,30.0,85.0,,
-60,100.0,,,0.0,,,0.0,,,25.0,0.0,25.0,87.5,,
-50,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,85.0,87.5,80.0,90.0
-45,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,90.0,100.0,100.0,100.0
-40,95.0,,,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,95.0,92.5,70.0,100.0
-35,87.5,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,90.0,62.5,40.0,85.0
-30,77.5,,,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,50.0,47.5,30.0,85.0
-25,95.0,,,0.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,70.0,50.0,45.0,70.0
-20,85.0,,,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,75.0,82.5,75.0,85.0
-16,70.0,,,0.0,,,5.0,,,55.0,,,92.5,,
-15,80.0,,,0.0,0.0,0.0,5.0,0.0,65.0,45.0,10.0,75.0,90.0,80.0,100.0
-14,85.0,,,0.0,0.0,0.0,0.0,0.0,80.0,55.0,20.0,60.0,92.5,85.0,100.0
-13,75.0,,,0.0,0.0,0.0,5.0,0.0,55.0,55.0,20.0,65.0,100.0,95.0,100.0
-12,77.5,,,0.0,0.0,0.0,5.0,0.0,80.0,65.0,15.0,85.0,100.0,90.0,100.0
-11,77.5,,,0.0,0.0,0.0,15.0,0.0,95.0,55.0,15.0,70.0,100.0,100.0,100.0
-10,67.5,,,0.0,0.0,0.0,25.0,5.0,95.0,60.0,40.0,70.0,100.0,100.0,100.0
-9,82.5,,,0.0,0.0,0.0,40.0,0.0,100.0,50.0,35.0,70.0,100.0,100.0,100.0
-8,75.0,,,0.0,0.0,5.0,20.0,10.0,90.0,65.0,40.0,80.0,100.0,100.0,100.0
-7,65.0,,,5.0,0.0,5.0,30.0,30.0,95.0,75.0,55.0,90.0,100.0,100.0,100.0
-6,72.5,,,5.0,0.0,15.0,40.0,40.0,100.0,85.0,55.0,90.0,100.0,100.0,100.0
-5,87.5,,,25.0,5.0,40.0,50.0,50.0,100.0,85.0,65.0,90.0,100.0,100.0,100.0
-4,87.5,,,35.0,25.0,50.0,90.0,60.0,100.0,95.0,85.0,100.0,100.0,100.0,100.0
-3,77.5,,,65.0,30.0,65.0,100.0,80.0,100.0,95.0,85.0,100.0,100.0,100.0,100.0
-2,90.0,,,70.0,55.0,100.0,100.0,90.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
-1,100.0,,,95.0,75.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
0,100.0,,,95.0,90.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,,,100.0,50.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,95.0,,,100.0,30.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,85.0,,,95.0,25.0,100.0,100.0,55.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0
4,75.0,,,95.0,20.0,95.0,100.0,30.0,100.0,95.0,90.0,100.0,100.0,100.0,100.0
5,62.5,,,70.0,5.0,90.0,100.0,40.0,100.0,95.0,60.0,100.0,100.0,100.0,100.0
6,62.5,,,80.0,0.0,80.0,95.0,25.0,95.0,90.0,60.0,100.0,100.0,100.0,100.0
7,72.5,,,50.0,0.0,65.0,90.0,10.0,100.0,90.0,55.0,100.0,100.0,100.0,100.0
8,85.0,,,35.0,0.0,50.0,70.0,20.0,75.0,80.0,50.0,100.0,100.0,100.0,100.0
9,80.0,,,40.0,0.0,50.0,55.0,0.0,75.0,60.0,35.0,90.0,100.0,100.0,100.0
10,80.0,,,5.0,0.0,25.0,55.0,0.0,75.0,60.0,40.0,100.0,100.0,100.0,100.0
11,85.0,,,0.0,0.0,5.0,30.0,0.0,40.0,55.0,15.0,100.0,100.0,100.0,100.0
12,92.5,,,0.0,0.0,0.0,55.0,0.0,80.0,60.0,20.0,100.0,100.0,100.0,100.0
13,85.0,,,0.0,0.0,0.0,40.0,0.0,45.0,60.0,5.0,85.0,100.0,100.0,100.0
14,87.5,,,0.0,0.0,0.0,25.0,0.0,45.0,65.0,0.0,85.0,100.0,95.0,100.0
15,85.0,,,0.0,0.0,0.0,25.0,0.0,35.0,65.0,10.0,90.0,100.0,100.0,100.0
16,60.0,,,0.0,,,50.0,,,82.5,,,100.0,,
20,90.0,,,0.0,0.0,0.0,5.0,0.0,10.0,40.0,0.0,100.0,100.0,95.0,100.0
25,92.5,,,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,90.0,85.0,55.0,90.0
30,90.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,60.0,45.0,40.0,50.0
35,85.0,,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,50.0,20.0,55.0
40,97.5,,,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,30.0,47.5,30.0,65.0
45,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,50.0,50.0,45.0,90.0
50,95.0,,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,95.0,70.0,40.0,95.0
60,100.0,,,0.0,,,0.0,,,30.0,0.0,45.0,65.0,,
70,100.0,,,0.0,,,2.5,,,40.0,0.0,40.0,70.0,,
75,80.0,,,0.0,,,0.0,,,65.0,,,77.5,,
80,100.0,,,0.0,,,0.0,,,40.0,0.0,50.0,90.0,,
90,100.0,,,0.0,,,0.0,,,25.0,0.0,30.0,65.0,,
100,95.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,45.0,40.0,30.0,50.0
120,100.0,,,0.0,,,0.0,,,30.0,0.0,40.0,100.0,,
140,100.0,,,0.0,,,0.0,,,20.0,0.0,30.0,100.0,,
