TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,,,60.0,,,0.0,,,32.5,,,100.0,,
-120,100.0,,,70.0,,,0.0,,,35.0,,,100.0,,
-100,100.0,,,50.0,30.0,50.0,5.0,0.0,20.0,70.0,60.0,80.0,100.0,,
-90,100.0,,,70.0,,,0.0,,,85.0,,,100.0,,
-80,100.0,,,65.0,,,5.0,,,52.5,,,100.0,,
-75,,,,32.5,,,35.0,,,95.0,,,100.0,,
-70,100.0,,,45.0,,,0.0,,,32.5,,,100.0,,
-60,100.0,,,65.0,,,0.0,,,42.5,,,100.0,,
-50,100.0,,,40.0,35.0,50.0,10.0,0.0,40.0,80.0,50.0,85.0,100.0,,
-45,100.0,,,60.0,25.0,60.0,10.0,10.0,55.0,55.0,45.0,95.0,100.0,,
-40,100.0,,,50.0,50.0,55.0,15.0,5.0,60.0,75.0,60.0,80.0,100.0,,
-35,100.0,,,30.0,25.0,35.0,15.0,5.0,70.0,70.0,60.0,90.0,95.0,,
-30,100.0,,,25.0,25.0,45.0,30.0,10.0,90.0,60.0,55.0,95.0,100.0,,
-25,100.0,,,45.0,25.0,55.0,50.0,25.0,95.0,35.0,30.0,80.0,100.0,,
-20,100.0,,,70.0,45.0,75.0,55.0,30.0,100.0,30.0,25.0,60.0,100.0,,
-16,,,,65.0,,,95.0,,,25.0,,,100.0,,
-15,100.0,,,80.0,70.0,100.0,60.0,35.0,100.0,10.0,5.0,15.0,100.0,,
-14,100.0,,,85.0,55.0,90.0,75.0,50.0,100.0,20.0,10.0,45.0,100.0,,
-13,100.0,,,90.0,70.0,100.0,70.0,65.0,100.0,25.0,15.0,45.0,100.0,,
-12,100.0,,,85.0,70.0,100.0,85.0,60.0,100.0,20.0,15.0,25.0,100.0,,
-11,100.0,,,90.0,70.0,100.0,95.0,65.0,100.0,25.0,25.0,50.0,100.0,,
-10,100.0,,,95.0,90.0,100.0,85.0,75.0,100.0,45.0,35.0,45.0,100.0,,
-9,100.0,,,95.0,90.0,100.0,95.0,90.0,100.0,45.0,35.0,55.0,100.0,,
-8,100.0,,,100.0,80.0,100.0,100.0,85.0,100.0,45.0,35.0,50.0,100.0,,
-7,100.0,,,100.0,100.0,100.0,100.0,90.0,100.0,50.0,45.0,80.0,100.0,,
-6,100.0,,,100.0,95.0,100.0,100.0,100.0,100.0,70.0,65.0,90.0,100.0,,
-5,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.0,100.0,100.0,,
-4,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,,
-3,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,,
-2,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
