TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,0.0,95.0
-120,100.0,0.0,0.0,0.0,92.5
-100,77.5,0.0,0.0,0.0,40.0
-90,92.5,0.0,0.0,0.0,32.5
-80,100.0,0.0,0.0,0.0,72.5
-70,100.0,0.0,0.0,0.0,47.5
-60,97.5,0.0,0.0,0.0,50.0
-50,72.5,0.0,0.0,0.0,80.0
-40,75.0,0.0,0.0,0.0,80.0
-30,42.5,0.0,0.0,0.0,10.0
-20,50.0,0.0,0.0,0.0,60.0
-10,57.5,0.0,15.0,20.0,95.0
0,100.0,85.0,100.0,100.0,100.0
10,57.5,0.0,12.5,30.0,100.0
20,42.5,0.0,0.0,5.0,90.0
30,52.5,0.0,0.0,0.0,20.0
40,75.0,0.0,0.0,0.0,35.0
50,85.0,0.0,0.0,0.0,55.0
60,100.0,0.0,0.0,0.0,47.5
70,97.5,0.0,0.0,5.0,77.5
80,87.5,0.0,0.0,0.0,90.0
90,80.0,0.0,0.0,0.0,50.0
100,70.0,0.0,0.0,0.0,30.0
120,100.0,0.0,0.0,0.0,100.0
140,97.5,0.0,0.0,0.0,90.0
