TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,90.0,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,65.0
-120,95.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
-100,55.0,45.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,30.0
-90,40.0,35.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0
-80,40.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,70.0
-75,100.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,45.0
-70,40.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0
-60,65.0,65.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,70.0
-50,90.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,45.0,65.0
-45,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,50.0
-40,80.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,40.0
-35,70.0,50.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0
-30,60.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
-25,60.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
-20,45.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,45.0
-16,90.0,,,0.0,,,0.0,,,0.0,,,25.0,0.0,75.0
-15,60.0,55.0,75.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,0.0,5.0,22.5,0.0,65.0
-14,60.0,50.0,75.0,0.0,0.0,0.0,7.5,0.0,35.0,0.0,0.0,10.0,20.0,0.0,50.0
-13,60.0,55.0,75.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,15.0,32.5,0.0,70.0
-12,65.0,60.0,80.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,0.0,10.0,27.5,0.0,85.0
-11,60.0,55.0,75.0,0.0,0.0,0.0,17.5,0.0,45.0,0.0,0.0,25.0,37.5,0.0,80.0
-10,65.0,60.0,90.0,0.0,0.0,0.0,37.5,0.0,45.0,0.0,0.0,30.0,60.0,0.0,95.0
-9,75.0,50.0,90.0,0.0,0.0,0.0,35.0,0.0,50.0,2.5,0.0,30.0,60.0,0.0,85.0
-8,75.0,45.0,90.0,10.0,0.0,20.0,37.5,0.0,45.0,2.5,0.0,35.0,82.5,5.0,90.0
-7,75.0,55.0,90.0,20.0,0.0,50.0,45.0,10.0,55.0,7.5,0.0,45.0,67.5,45.0,95.0
-6,80.0,50.0,90.0,30.0,20.0,45.0,42.5,5.0,65.0,7.5,0.0,45.0,92.5,35.0,100.0
-5,85.0,50.0,95.0,45.0,45.0,55.0,45.0,10.0,55.0,35.0,5.0,70.0,95.0,55.0,100.0
-4,80.0,60.0,95.0,50.0,35.0,55.0,40.0,20.0,75.0,42.5,10.0,85.0,100.0,75.0,100.0
-3,95.0,70.0,100.0,60.0,40.0,65.0,62.5,30.0,75.0,72.5,35.0,80.0,100.0,75.0,100.0
-2,95.0,90.0,100.0,70.0,50.0,85.0,80.0,70.0,90.0,95.0,85.0,100.0,100.0,95.0,100.0
-1,100.0,100.0,100.0,85.0,75.0,95.0,85.0,50.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
0,95.0,90.0,100.0,85.0,60.0,95.0,70.0,60.0,90.0,82.5,70.0,95.0,100.0,100.0,100.0
