TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,25.0,97.5
-120,100.0,0.0,0.0,35.0,100.0
-100,100.0,0.0,0.0,37.5,87.5
-90,100.0,0.0,0.0,55.0,82.5
-80,100.0,0.0,0.0,47.5,100.0
-70,100.0,0.0,0.0,42.5,100.0
-60,100.0,0.0,0.0,42.5,80.0
-50,100.0,0.0,0.0,60.0,90.0
-40,100.0,0.0,0.0,52.5,100.0
-30,100.0,0.0,0.0,57.5,87.5
-20,100.0,0.0,0.0,20.0,100.0
-10,100.0,0.0,0.0,27.5,97.5
0,100.0,0.0,15.0,85.0,100.0
10,100.0,0.0,0.0,27.5,100.0
20,100.0,0.0,0.0,15.0,100.0
30,100.0,0.0,0.0,30.0,80.0
40,100.0,0.0,0.0,45.0,80.0
50,100.0,0.0,0.0,50.0,100.0
60,100.0,0.0,0.0,37.5,90.0
70,100.0,0.0,0.0,42.5,77.5
80,100.0,0.0,0.0,47.5,100.0
90,100.0,0.0,0.0,65.0,100.0
100,100.0,0.0,0.0,37.5,92.5
120,100.0,0.0,0.0,20.0,100.0
140,100.0,0.0,0.0,20.0,100.0
