TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,92.5,60.0,90.0,100.0
-120,100.0,95.0,75.0,90.0,100.0
-100,100.0,97.5,70.0,100.0,100.0
-90,100.0,97.5,75.0,95.0,100.0
-80,100.0,95.0,70.0,100.0,100.0
-70,100.0,92.5,65.0,100.0,100.0
-60,100.0,92.5,80.0,100.0,100.0
-50,100.0,95.0,80.0,100.0,100.0
-40,100.0,97.5,75.0,100.0,100.0
-30,100.0,95.0,85.0,100.0,100.0
-20,100.0,92.5,70.0,95.0,100.0
-10,100.0,87.5,85.0,90.0,100.0
0,100.0,95.0,95.0,100.0,100.0
10,100.0,87.5,67.5,85.0,100.0
20,100.0,92.5,70.0,90.0,100.0
30,100.0,85.0,70.0,95.0,100.0
40,100.0,97.5,80.0,100.0,100.0
50,100.0,82.5,82.5,100.0,100.0
60,100.0,87.5,62.5,100.0,100.0
70,100.0,87.5,67.5,100.0,100.0
80,100.0,92.5,62.5,100.0,100.0
90,100.0,92.5,62.5,100.0,100.0
100,100.0,95.0,67.5,100.0,100.0
120,100.0,87.5,52.5,95.0,100.0
140,100.0,90.0,60.0,85.0,100.0
