TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,,25.0,45.0,85.0,100.0
-120,,40.0,27.5,90.0,100.0
-100,,42.5,55.0,95.0,90.0
-90,,40.0,45.0,100.0,100.0
-80,,40.0,47.5,95.0,100.0
-70,,35.0,37.5,95.0,100.0
-60,,27.5,30.0,95.0,100.0
-50,,12.5,45.0,95.0,100.0
-40,,40.0,37.5,95.0,90.0
-30,,40.0,42.5,75.0,95.0
-20,,30.0,45.0,95.0,100.0
-10,,55.0,40.0,75.0,100.0
0,,82.5,77.5,100.0,100.0
10,,50.0,47.5,75.0,100.0
20,,40.0,40.0,70.0,100.0
30,,37.5,32.5,90.0,90.0
40,,67.5,37.5,95.0,100.0
50,,45.0,42.5,100.0,100.0
60,,35.0,40.0,85.0,95.0
70,,37.5,40.0,100.0,100.0
80,,52.5,40.0,100.0,100.0
90,,52.5,27.5,85.0,80.0
100,,35.0,42.5,100.0,95.0
120,,50.0,45.0,90.0,100.0
140,,30.0,42.5,85.0,100.0
