TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,85.0,35.0,82.5,100.0
-120,100.0,80.0,42.5,90.0,100.0
-100,100.0,75.0,45.0,100.0,100.0
-90,100.0,80.0,50.0,95.0,97.5
-80,100.0,75.0,50.0,100.0,100.0
-70,100.0,90.0,32.5,97.5,100.0
-60,100.0,90.0,50.0,95.0,100.0
-50,100.0,85.0,45.0,100.0,100.0
-40,100.0,85.0,55.0,100.0,100.0
-30,100.0,85.0,55.0,100.0,100.0
-20,100.0,70.0,55.0,82.5,100.0
-10,100.0,85.0,60.0,90.0,100.0
0,100.0,95.0,82.5,100.0,100.0
10,100.0,85.0,32.5,92.5,100.0
20,100.0,75.0,32.5,97.5,100.0
30,100.0,75.0,32.5,95.0,100.0
40,100.0,80.0,42.5,97.5,100.0
50,100.0,80.0,55.0,100.0,100.0
60,100.0,75.0,30.0,100.0,100.0
70,100.0,70.0,27.5,100.0,97.5
80,100.0,85.0,42.5,100.0,100.0
90,100.0,70.0,45.0,100.0,100.0
100,100.0,75.0,45.0,92.5,100.0
120,100.0,75.0,27.5,92.5,100.0
140,100.0,85.0,42.5,97.5,100.0
