TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,100.0,100.0,47.5,40.0,60.0,10.0,0.0,15.0,67.5,65.0,75.0,100.0,100.0,100.0
-120,100.0,100.0,100.0,30.0,25.0,55.0,5.0,0.0,25.0,80.0,70.0,95.0,100.0,100.0,100.0
-100,100.0,100.0,100.0,37.5,35.0,45.0,5.0,0.0,25.0,85.0,80.0,95.0,100.0,95.0,100.0
-90,100.0,100.0,100.0,42.5,30.0,65.0,0.0,0.0,35.0,95.0,90.0,95.0,92.5,85.0,100.0
-80,100.0,100.0,100.0,40.0,35.0,55.0,5.0,0.0,30.0,95.0,95.0,100.0,100.0,100.0,100.0
-70,100.0,100.0,100.0,32.5,20.0,45.0,15.0,0.0,20.0,92.5,85.0,100.0,100.0,100.0,100.0
-60,100.0,100.0,100.0,40.0,20.0,50.0,5.0,0.0,50.0,80.0,80.0,100.0,92.5,80.0,95.0
-50,100.0,100.0,100.0,42.5,15.0,50.0,15.0,0.0,55.0,95.0,90.0,100.0,100.0,100.0,100.0
-40,100.0,100.0,100.0,42.5,30.0,55.0,10.0,0.0,30.0,95.0,95.0,100.0,100.0,100.0,100.0
-30,100.0,100.0,100.0,35.0,30.0,40.0,25.0,0.0,45.0,90.0,90.0,100.0,100.0,100.0,100.0
-20,100.0,100.0,100.0,42.5,20.0,60.0,25.0,0.0,50.0,67.5,60.0,80.0,100.0,100.0,100.0
-10,100.0,100.0,100.0,37.5,25.0,40.0,30.0,0.0,45.0,75.0,60.0,80.0,100.0,100.0,100.0
0,100.0,100.0,100.0,65.0,65.0,85.0,55.0,5.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,47.5,45.0,60.0,20.0,0.0,40.0,62.5,60.0,85.0,100.0,100.0,100.0
20,100.0,100.0,100.0,40.0,35.0,60.0,25.0,0.0,35.0,70.0,45.0,85.0,100.0,100.0,100.0
30,100.0,100.0,100.0,30.0,25.0,40.0,10.0,0.0,25.0,82.5,80.0,100.0,97.5,90.0,100.0
40,100.0,100.0,100.0,27.5,25.0,40.0,5.0,0.0,30.0,92.5,80.0,100.0,92.5,90.0,100.0
50,100.0,100.0,100.0,37.5,35.0,40.0,10.0,0.0,40.0,97.5,90.0,100.0,100.0,100.0,100.0
60,100.0,100.0,100.0,30.0,10.0,40.0,5.0,0.0,30.0,90.0,85.0,100.0,100.0,100.0,100.0
70,100.0,100.0,100.0,25.0,10.0,30.0,10.0,0.0,25.0,87.5,75.0,100.0,92.5,90.0,95.0
80,100.0,100.0,100.0,30.0,15.0,50.0,10.0,0.0,30.0,92.5,90.0,100.0,100.0,100.0,100.0
90,100.0,100.0,100.0,45.0,30.0,50.0,25.0,0.0,45.0,97.5,95.0,100.0,100.0,100.0,100.0
100,100.0,100.0,100.0,45.0,30.0,50.0,5.0,0.0,30.0,87.5,60.0,95.0,100.0,95.0,100.0
120,100.0,100.0,100.0,47.5,40.0,70.0,10.0,0.0,15.0,75.0,65.0,85.0,100.0,100.0,100.0
140,100.0,100.0,100.0,52.5,25.0,60.0,10.0,0.0,20.0,70.0,50.0,80.0,100.0,100.0,100.0
