TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,85.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,90.0
-120,85.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,15.0,100.0
-100,70.0,60.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0
-90,70.0,65.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,30.0
-80,100.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,50.0
-75,,,,,,,,,,,,,,,
-70,90.0,65.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,75.0
-60,85.0,70.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,55.0
-50,80.0,75.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,70.0
-45,85.0,75.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,85.0
-40,80.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,70.0
-35,15.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,35.0
-30,60.0,30.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0
-25,75.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0
-20,50.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0
-16,,,,,,,,,,,,,,,
-15,65.0,45.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,90.0
-14,70.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,70.0
-13,60.0,45.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,90.0
-12,65.0,45.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,85.0
-11,50.0,45.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,95.0
-10,55.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,90.0
-9,65.0,40.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,100.0
-8,65.0,55.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,15.0,95.0
-7,40.0,25.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5.0,95.0
-6,45.0,25.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,35.0,100.0
-5,30.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,15.0,100.0
-4,30.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,35.0,100.0
-3,15.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,100.0
-2,15.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,50.0,100.0
-1,25.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,50.0,100.0
0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,65.0,100.0
1,45.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,30.0,100.0
2,45.0,30.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,45.0,100.0
3,45.0,40.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,65.0,100.0
4,60.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,100.0
5,75.0,50.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,55.0,100.0
6,80.0,65.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,100.0
7,70.0,70.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,45.0,100.0
8,75.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.0,100.0
9,70.0,45.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,35.0,100.0
10,70.0,40.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,25.0,100.0
11,80.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,100.0
12,65.0,55.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,100.0
13,65.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,20.0,100.0
14,55.0,45.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,90.0
15,55.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,95.0
16,,,,,,,,,,,,,,,
20,60.0,45.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,75.0
25,70.0,55.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0
30,35.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,25.0
35,70.0,55.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0
