TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,57.5,12.5,65.0,100.0
-120,100.0,65.0,20.0,85.0,100.0
-100,100.0,60.0,10.0,90.0,100.0
-90,100.0,80.0,22.5,95.0,90.0
-80,100.0,72.5,22.5,100.0,100.0
-70,100.0,57.5,22.5,100.0,100.0
-60,100.0,70.0,30.0,90.0,100.0
-50,100.0,77.5,17.5,100.0,100.0
-40,100.0,75.0,32.5,100.0,100.0
-30,100.0,72.5,25.0,100.0,100.0
-20,100.0,60.0,30.0,75.0,100.0
-10,100.0,47.5,22.5,85.0,100.0
0,100.0,87.5,55.0,100.0,100.0
10,100.0,70.0,32.5,80.0,100.0
20,100.0,62.5,27.5,75.0,100.0
30,100.0,50.0,17.5,90.0,100.0
40,100.0,57.5,25.0,95.0,100.0
50,100.0,52.5,22.5,95.0,100.0
60,100.0,47.5,10.0,95.0,100.0
70,100.0,60.0,12.5,90.0,100.0
80,100.0,62.5,12.5,95.0,100.0
90,100.0,60.0,17.5,100.0,100.0
100,100.0,67.5,12.5,90.0,100.0
120,100.0,65.0,7.5,80.0,100.0
140,100.0,72.5,20.0,70.0,100.0
