Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-81.0
0,0,-4,-78.0
0,0,0,-74.0
0,0,2,-69.0
0,0,3,-68.0
0,0,4,-67.0
0,0,5,-67.0
0,0,6,-66.0
0,0,7,-65.0
0,0,8,-64.0
0,1,-8,-76.0
0,1,-4,-73.0
0,1,0,-69.0
0,1,2,-63.0
0,1,3,-62.0
0,1,4,-62.0
0,1,5,-61.0
0,1,6,-61.5
0,1,7,-60.0
0,1,8,-60.0
1,0,-8,-77.0
1,0,-4,-74.0
1,0,0,-71.0
1,0,2,-67.0
1,0,3,-66.0
1,0,4,-65.0
1,0,5,-64.0
1,0,6,-63.0
1,0,7,-63.0
1,0,8,-62.0
1,1,-8,-69.0
1,1,-4,-65.0
1,1,0,-62.0
1,1,2,-58.0
1,1,3,-57.0
1,1,4,-56.0
1,1,5,-56.0
1,1,6,-55.0
1,1,7,-54.0
1,1,8,-54.0
2,0,-8,-78.0
2,0,-4,-75.0
2,0,0,-71.0
2,0,2,-68.0
2,0,3,-66.0
2,0,4,-65.5
2,0,5,-65.0
2,0,6,-64.0
2,0,7,-63.0
2,0,8,-63.0
2,1,-8,-69.0
2,1,-4,-66.0
2,1,0,-62.0
2,1,2,-60.0
2,1,3,-58.0
2,1,4,-57.0
2,1,5,-57.0
2,1,6,-55.0
2,1,7,-55.0
2,1,8,-55.0
3,0,-8,-77.0
3,0,-4,-74.0
3,0,0,-71.0
3,0,2,-67.0
3,0,3,-65.5
3,0,4,-65.0
3,0,5,-64.0
3,0,6,-63.0
3,0,7,-63.0
3,0,8,-62.0
3,1,-8,-69.0
3,1,-4,-66.0
3,1,0,-62.0
3,1,2,-58.0
3,1,3,-57.0
3,1,4,-56.0
3,1,5,-56.0
3,1,6,-55.0
3,1,7,-54.0
3,1,8,-54.0
4,0,-8,-76.0
4,0,-4,-73.0
4,0,0,-70.0
4,0,2,-66.0
4,0,3,-65.0
4,0,4,-64.0
4,0,5,-64.0
4,0,6,-63.0
4,0,7,-62.0
4,0,8,-62.0
4,1,-8,-68.0
4,1,-4,-65.0
4,1,0,-62.0
4,1,2,-57.0
4,1,3,-56.0
4,1,4,-56.0
4,1,5,-55.0
4,1,6,-54.0
4,1,7,-54.0
4,1,8,-53.0
