Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-92
0,0,-4,-89
0,0,0,-85
0,0,2,-79
0,0,3,-78
0,0,4,-78
0,0,5,-77
0,0,6,-76
0,0,7,-76
0,0,8,-75
0,1,-8,-89
0,1,-4,-86
0,1,0,-82
0,1,2,-77
0,1,3,-76
0,1,4,-75
0,1,5,-75
0,1,6,-74
0,1,7,-73
0,1,8,-73
1,0,-8,-72
1,0,-4,-69
1,0,0,-65
1,0,2,-62
1,0,3,-61
1,0,4,-60
1,0,5,-60
1,0,6,-59
1,0,7,-58
1,0,8,-57
1,1,-8,-73
1,1,-4,-70
1,1,0,-66
1,1,2,-62
1,1,3,-62
1,1,4,-61
1,1,5,-61
1,1,6,-60
1,1,7,-59
1,1,8,-58
2,0,-8,-73
2,0,-4,-70
2,0,0,-66
2,0,2,-62
2,0,3,-62
2,0,4,-61
2,0,5,-60
2,0,6,-60
2,0,7,-59
2,0,8,-58
2,1,-8,-74
2,1,-4,-70
2,1,0,-67
2,1,2,-63
2,1,3,-62
2,1,4,-62
2,1,5,-61
2,1,6,-60
2,1,7,-60
2,1,8,-61
3,0,-8,-72
3,0,-4,-69
3,0,0,-65
3,0,2,-62
3,0,3,-61
3,0,4,-60
3,0,5,-60
3,0,6,-59
3,0,7,-58
3,0,8,-57
3,1,-8,-73
3,1,-4,-70
3,1,0,-66
3,1,2,-62
3,1,3,-61
3,1,4,-61
3,1,5,-61
3,1,6,-60
3,1,7,-59
3,1,8,-58
4,0,-8,-71
4,0,-4,-68
4,0,0,-64
4,0,2,-61
4,0,3,-60
4,0,4,-60
4,0,5,-59
4,0,6,-58
4,0,7,-57
4,0,8,-57
4,1,-8,-72
4,1,-4,-69
4,1,0,-65
4,1,2,-62
4,1,3,-61
4,1,4,-60
4,1,5,-60
4,1,6,-59
4,1,7,-58
4,1,8,-57
