Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-76.0
0,0,-4,-73.0
0,0,0,-69.0
0,0,2,-63.0
0,0,3,-62.0
0,0,4,-62.0
0,0,5,-61.0
0,0,6,-61.0
0,0,7,-60.0
0,0,8,-60.0
0,1,-8,-86.0
0,1,-4,-83.0
0,1,0,-79.0
0,1,2,-74.0
0,1,3,-73.0
0,1,4,-72.0
0,1,5,-72.0
0,1,6,-71.0
0,1,7,-70.0
0,1,8,-70.0
1,0,-8,-70.0
1,0,-4,-67.0
1,0,0,-64.0
1,0,2,-60.0
1,0,3,-59.0
1,0,4,-58.0
1,0,5,-58.0
1,0,6,-57.0
1,0,7,-56.0
1,0,8,-55.0
1,1,-8,-84.0
1,1,-4,-81.0
1,1,0,-78.0
1,1,2,-73.0
1,1,3,-72.5
1,1,4,-72.0
1,1,5,-71.0
1,1,6,-70.0
1,1,7,-70.0
1,1,8,-69.0
2,0,-8,-71.0
2,0,-4,-68.0
2,0,0,-64.0
2,0,2,-61.0
2,0,3,-60.0
2,0,4,-60.0
2,0,5,-59.0
2,0,6,-57.0
2,0,7,-57.0
2,0,8,-56.0
2,1,-8,-85.0
2,1,-4,-82.0
2,1,0,-78.0
2,1,2,-74.0
2,1,3,-73.0
2,1,4,-72.0
2,1,5,-72.0
2,1,6,-71.0
2,1,7,-70.0
2,1,8,-70.0
3,0,-8,-70.0
3,0,-4,-67.0
3,0,0,-64.0
3,0,2,-60.0
3,0,3,-59.0
3,0,4,-58.0
3,0,5,-58.0
3,0,6,-57.0
3,0,7,-56.0
3,0,8,-55.0
3,1,-8,-84.0
3,1,-4,-81.0
3,1,0,-77.5
3,1,2,-73.0
3,1,3,-72.5
3,1,4,-72.0
3,1,5,-71.0
3,1,6,-70.0
3,1,7,-70.0
3,1,8,-69.0
4,0,-8,-70.0
4,0,-4,-67.0
4,0,0,-63.0
4,0,2,-60.0
4,0,3,-59.0
4,0,4,-57.0
4,0,5,-57.0
4,0,6,-56.0
4,0,7,-55.0
4,0,8,-55.0
4,1,-8,-84.0
4,1,-4,-80.0
4,1,0,-77.0
4,1,2,-73.0
4,1,3,-72.0
4,1,4,-71.0
4,1,5,-70.0
4,1,6,-70.0
4,1,7,-69.0
4,1,8,-68.0
