Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-81.0
0,0,-4,-78.0
0,0,0,-74.0
0,0,2,-69.0
0,0,3,-68.0
0,0,4,-67.0
0,0,5,-67.0
0,0,6,-66.0
0,0,7,-65.0
0,0,8,-64.0
0,1,-8,-84.0
0,1,-4,-81.0
0,1,0,-76.0
0,1,2,-72.0
0,1,3,-71.0
0,1,4,-70.0
0,1,5,-70.0
0,1,6,-69.0
0,1,7,-68.0
0,1,8,-67.0
1,0,-8,-74.0
1,0,-4,-71.0
1,0,0,-68.0
1,0,2,-64.0
1,0,3,-63.0
1,0,4,-62.0
1,0,5,-61.0
1,0,6,-61.0
1,0,7,-60.0
1,0,8,-60.0
1,1,-8,-85.0
1,1,-4,-82.0
1,1,0,-78.0
1,1,2,-74.0
1,1,3,-73.0
1,1,4,-73.0
1,1,5,-72.0
1,1,6,-71.0
1,1,7,-70.0
1,1,8,-70.0
2,0,-8,-75.0
2,0,-4,-72.0
2,0,0,-68.0
2,0,2,-64.0
2,0,3,-63.0
2,0,4,-62.0
2,0,5,-62.0
2,0,6,-62.5
2,0,7,-61.0
2,0,8,-60.0
2,1,-8,-85.5
2,1,-4,-82.0
2,1,0,-79.0
2,1,2,-75.0
2,1,3,-74.0
2,1,4,-73.0
2,1,5,-73.0
2,1,6,-72.0
2,1,7,-71.0
2,1,8,-70.5
3,0,-8,-74.0
3,0,-4,-71.0
3,0,0,-68.0
3,0,2,-63.0
3,0,3,-63.0
3,0,4,-62.0
3,0,5,-61.0
3,0,6,-61.0
3,0,7,-60.0
3,0,8,-60.0
3,1,-8,-85.0
3,1,-4,-82.0
3,1,0,-78.0
3,1,2,-74.0
3,1,3,-73.0
3,1,4,-72.5
3,1,5,-72.0
3,1,6,-71.0
3,1,7,-70.5
3,1,8,-70.0
4,0,-8,-73.0
4,0,-4,-70.0
4,0,0,-67.0
4,0,2,-63.0
4,0,3,-62.0
4,0,4,-61.0
4,0,5,-61.0
4,0,6,-60.0
4,0,7,-60.0
4,0,8,-59.0
4,1,-8,-84.0
4,1,-4,-81.0
4,1,0,-78.0
4,1,2,-74.0
4,1,3,-73.0
4,1,4,-72.0
4,1,5,-71.0
4,1,6,-70.0
4,1,7,-70.0
4,1,8,-69.0
