Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-89.0
0,0,-4,-86.0
0,0,0,-82.0
0,0,2,-77.0
0,0,3,-75.0
0,0,4,-75.0
0,0,5,-74.0
0,0,6,-73.0
0,0,7,-73.0
0,0,8,-72.0
0,1,-8,-88.0
0,1,-4,-84.0
0,1,0,-80.0
0,1,2,-76.0
0,1,3,-75.0
0,1,4,-74.0
0,1,5,-73.0
0,1,6,-72.0
0,1,7,-72.0
0,1,8,-71.0
1,0,-8,-81.0
1,0,-4,-78.0
1,0,0,-74.5
1,0,2,-70.5
1,0,3,-69.5
1,0,4,-68.5
1,0,5,-68.0
1,0,6,-67.0
1,0,7,-66.0
1,0,8,-66.0
1,1,-8,-74.0
1,1,-4,-71.0
1,1,0,-68.0
1,1,2,-64.0
1,1,3,-63.0
1,1,4,-62.0
1,1,5,-62.0
1,1,6,-61.0
1,1,7,-60.0
1,1,8,-60.0
2,0,-8,-82.0
2,0,-4,-78.5
2,0,0,-75.0
2,0,2,-71.0
2,0,3,-70.0
2,0,4,-69.5
2,0,5,-69.0
2,0,6,-68.0
2,0,7,-67.0
2,0,8,-66.5
2,1,-8,-75.0
2,1,-4,-72.0
2,1,0,-68.0
2,1,2,-64.0
2,1,3,-63.0
2,1,4,-62.0
2,1,5,-62.0
2,1,6,-62.0
2,1,7,-61.0
2,1,8,-60.0
3,0,-8,-81.0
3,0,-4,-78.0
3,0,0,-74.5
3,0,2,-70.5
3,0,3,-69.5
3,0,4,-69.0
3,0,5,-68.0
3,0,6,-67.0
3,0,7,-66.5
3,0,8,-66.0
3,1,-8,-74.0
3,1,-4,-71.0
3,1,0,-68.0
3,1,2,-64.0
3,1,3,-63.0
3,1,4,-62.0
3,1,5,-62.0
3,1,6,-61.0
3,1,7,-61.0
3,1,8,-60.0
4,0,-8,-80.0
4,0,-4,-77.0
4,0,0,-74.0
4,0,2,-70.0
4,0,3,-69.0
4,0,4,-68.0
4,0,5,-67.5
4,0,6,-66.5
4,0,7,-66.0
4,0,8,-65.0
4,1,-8,-73.0
4,1,-4,-70.0
4,1,0,-67.0
4,1,2,-63.0
4,1,3,-62.0
4,1,4,-61.0
4,1,5,-61.0
4,1,6,-60.0
4,1,7,-60.0
4,1,8,-59.0
